Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,5,Tue,2018-11-27,20:55 (11:55),CSKA Moscow ru,1.8,1–2,1.5,cz Viktoria Plzeň,52892,VEB Arena,Jochem Kamphuis,Match Report,
Group Stage,5,Tue,2018-11-27,20:00 (14:00),Manchester Utd eng,2.0,1–0,0.6,ch Young Boys,72876,Old Trafford,Felix Brych,Match Report,
Group Stage,5,Tue,2018-11-27,21:00 (14:00),Roma it,1.9,0–2,1.7,es Real Madrid,59124,Stadio Olimpico,Ruddy Buquet,Match Report,
Group Stage,5,Tue,2018-11-27,21:00 (14:00),Juventus it,1.6,1–0,0.4,es Valencia,39070,Allianz Stadium,William Collum,Match Report,
Group Stage,5,Tue,2018-11-27,21:00 (14:00),Lyon fr,1.8,2–2,0.8,eng Manchester City,56039,Groupama Stadium,Luca Banti,Match Report,
Group Stage,5,Tue,2018-11-27,21:00 (14:00),Hoffenheim de,0.9,2–3,1.8,ua Shakhtar,22920,PreZero Arena,Filip Glova,Match Report,
Group Stage,5,Tue,2018-11-27,21:00 (14:00),Bayern Munich de,1.2,5–1,0.6,pt Benfica,70000,Allianz Arena,Daniele Orsato,Match Report,
Group Stage,5,Wed,2018-11-28,18:55 (11:55),Atlético Madrid es,0.7,2–0,1.2,fr Monaco,56314,Estadio Wanda Metropolitano,Mattias Gestranius,Match Report,
Group Stage,5,Wed,2018-11-28,20:55 (11:55),Loko Moscow ru,1.2,2–0,0.9,tr Galatasaray,14037,RZD Arena,Antonio Matéu Lahoz,Match Report,
Group Stage,5,Wed,2018-11-28,20:00 (14:00),Tottenham eng,0.9,1–0,0.4,it Inter,57132,Wembley Stadium,Baris Şimşek,Match Report,
Group Stage,5,Wed,2018-11-28,20:00 (14:00),Porto pt,1.3,3–1,0.9,de Schalke 04,41603,Estádio Do Dragão,Ovidiu Hațegan,Match Report,
Group Stage,5,Wed,2018-11-28,21:00 (14:00),Paris S-G fr,1.4,2–1,1.4,eng Liverpool,46880,Parc des Princes,Tomasz Musiał,Match Report,
Group Stage,5,Wed,2018-11-28,21:00 (14:00),Dortmund de,1.1,0–0,0.3,be Club Brugge,66099,Signal Iduna Park,Gediminas Mažeika,Match Report,
Group Stage,5,Wed,2018-11-28,21:00 (14:00),Napoli it,2.2,3–1,0.7,rs Red Star,44470,Stadio San Paolo,Ricardo de Burgos,Match Report,
Group Stage,5,Wed,2018-11-28,21:00 (14:00),PSV Eindhoven nl,2.8,1–2,1.9,es Barcelona,34600,Philips Stadion,Miroslav Zelinka,Match Report,
,,,,,,,,,,,,,,
Group Stage,6,Tue,2018-12-11,18:55 (11:55),Schalke 04 de,1.1,1–0,0.5,ru Loko Moscow,48883,Veltins-Arena,Tasos Sidiropoulos,Match Report,
Group Stage,6,Tue,2018-12-11,20:55 (11:55),Galatasaray tr,3.8,2–3,1.5,pt Porto,33972,Türk Telekom Arena,Aliaksei Kulbakou,Match Report,
Group Stage,6,Tue,2018-12-11,20:00 (14:00),Liverpool eng,2.5,1–0,1.0,it Napoli,52015,Anfield,Damir Skomina,Match Report,
Group Stage,6,Tue,2018-12-11,21:00 (14:00),Red Star rs,0.6,1–4,2.5,fr Paris S-G,48357,Stadion Rajko Mitić,William Collum,Match Report,
Group Stage,6,Tue,2018-12-11,21:00 (14:00),Monaco fr,0.4,0–2,2.5,de Dortmund,8731,Stade Louis II.,Craig Pawson,Match Report,
Group Stage,6,Tue,2018-12-11,21:00 (14:00),Club Brugge be,0.5,0–0,0.5,es Atlético Madrid,25645,Jan Breydelstadion,Davide Massa,Match Report,
Group Stage,6,Tue,2018-12-11,21:00 (14:00),Barcelona es,1.0,1–1,2.2,eng Tottenham,69961,Camp Nou,Milorad Mažić,Match Report,
Group Stage,6,Tue,2018-12-11,21:00 (14:00),Inter it,2.5,1–1,1.1,nl PSV Eindhoven,62533,Stadio Giuseppe Meazza,Felix Zwayer,Match Report,
Group Stage,6,Wed,2018-12-12,18:55 (11:55),Viktoria Plzeň cz,1.6,2–1,0.9,it Roma,11217,Doosan Arena,Anthony Taylor,Match Report,
Group Stage,6,Wed,2018-12-12,18:55 (11:55),Real Madrid es,0.8,0–3,0.8,ru CSKA Moscow,51636,Estadio Santiago Bernabéu,Hugo Miguel,Match Report,
Group Stage,6,Wed,2018-12-12,20:00 (14:00),Manchester City eng,2.4,2–1,1.6,de Hoffenheim,50411,Etihad Stadium,Andreas Ekberg,Match Report,
Group Stage,6,Wed,2018-12-12,20:00 (14:00),Benfica pt,2.1,1–0,0.5,gr AEK Athens,33633,Estádio do Sport Lisboa e Benfica,Bobby Madden,Match Report,
Group Stage,6,Wed,2018-12-12,21:00 (14:00),Valencia es,1.2,2–1,1.3,eng Manchester Utd,36544,Estadio de Mestalla,Georgi Kabakov,Match Report,
Group Stage,6,Wed,2018-12-12,21:00 (14:00),Young Boys ch,1.2,2–1,2.4,it Juventus,30114,Stade de Suisse Wankdorf Bern,Tobias Stieler,Match Report,
Group Stage,6,Wed,2018-12-12,21:00 (14:00),Ajax nl,3.2,3–3,2.9,de Bayern Munich,52244,Johan Cruyff ArenA,Clément Turpin,Match Report,
Group Stage,6,Wed,2018-12-12,22:00 (14:00),Shakhtar ua,0.6,1–1,1.7,fr Lyon,38916,NSK Olimpijs'kyj,Björn Kuipers,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2019-02-12,20:00 (14:00),Manchester Utd eng,0.3,0–2,1.6,fr Paris S-G,74054,Old Trafford,Daniele Orsato,Match Report,Leg 1 of 2
Round of 16,,Tue,2019-02-12,21:00 (14:00),Roma it,0.9,2–1,0.6,pt Porto,51727,Stadio Olimpico,Jochem Kamphuis,Match Report,Leg 1 of 2
Round of 16,,Wed,2019-02-13,20:00 (14:00),Tottenham eng,1.4,3–0,0.3,de Dortmund,71214,Wembley Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Round of 16,,Wed,2019-02-13,21:00 (14:00),Ajax nl,2.0,1–2,1.5,es Real Madrid,52286,Johan Cruyff ArenA,Szymon Marciniak,Match Report,Leg 1 of 2
Round of 16,,Tue,2019-02-19,20:00 (14:00),Liverpool eng,1.8,0–0,0.4,de Bayern Munich,52250,Anfield,Gianluca Rocchi,Match Report,Leg 1 of 2
Round of 16,,Tue,2019-02-19,21:00 (14:00),Lyon fr,0.4,0–0,2.4,es Barcelona,57889,Groupama Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
Round of 16,,Wed,2019-02-20,21:00 (14:00),Schalke 04 de,1.7,2–3,2.1,eng Manchester City,54417,Veltins-Arena,Alejandro Hernández,Match Report,Leg 1 of 2
Round of 16,,Wed,2019-02-20,21:00 (14:00),Atlético Madrid es,1.0,2–0,0.9,it Juventus,67193,Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2
Round of 16,,Tue,2019-03-05,21:00 (14:00),Real Madrid es,2.0,1–4,2.4,nl Ajax,77013,Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Ajax won
Round of 16,,Tue,2019-03-05,21:00 (14:00),Dortmund de,1.4,0–1,0.8,eng Tottenham,66099,Signal Iduna Park,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won
Round of 16,,Wed,2019-03-06,20:00 (14:00),Porto pt,3.6,3–1,1.7,it Roma,49029,Estádio Do Dragão,Paweł Gil,Match Report,Leg 2 of 2; Porto won; Required Extra Time
Round of 16,,Wed,2019-03-06,21:00 (14:00),Paris S-G fr,1.2,1–3,2.0,eng Manchester Utd,47441,Parc des Princes,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won
Round of 16,,Tue,2019-03-12,20:00 (15:00),Manchester City eng,3.6,7–0,0.4,de Schalke 04,51518,Etihad Stadium,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
Round of 16,,Tue,2019-03-12,21:00 (15:00),Juventus it,1.8,3–0,0.3,es Atlético Madrid,40884,Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
Round of 16,,Wed,2019-03-13,21:00 (15:00),Barcelona es,4.6,5–1,0.4,fr Lyon,92346,Camp Nou,Szymon Marciniak,Match Report,Leg 2 of 2; Barcelona won
Round of 16,,Wed,2019-03-13,21:00 (15:00),Bayern Munich de,0.2,1–3,0.9,eng Liverpool,68145,Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Liverpool won
Quarterfinals,,Tue,2019-04-09,20:00 (14:00),Liverpool eng,1.9,2–0,0.9,pt Porto,52465,Anfield,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Quarterfinals,,Tue,2019-04-09,20:00 (14:00),Tottenham eng,0.7,1–0,1.3,eng Manchester City,60044,Tottenham Hotspur Stadium,Björn Kuipers,Match Report,Leg 1 of 2
Quarterfinals,,Wed,2019-04-10,20:00 (14:00),Manchester Utd eng,0.4,0–1,0.5,es Barcelona,74093,Old Trafford,Gianluca Rocchi,Match Report,Leg 1 of 2
Quarterfinals,,Wed,2019-04-10,21:00 (14:00),Ajax nl,1.0,1–1,0.6,it Juventus,50390,Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 1 of 2
Quarterfinals,,Tue,2019-04-16,21:00 (14:00),Juventus it,0.6,1–2,1.8,nl Ajax,41445,Allianz Stadium,Clément Turpin,Match Report,Leg 2 of 2; Ajax won
Quarterfinals,,Tue,2019-04-16,21:00 (14:00),Barcelona es,1.3,3–0,0.4,eng Manchester Utd,96708,Camp Nou,Felix Brych,Match Report,Leg 2 of 2; Barcelona won
Quarterfinals,,Wed,2019-04-17,20:00 (14:00),Porto pt,1.1,1–4,2.5,eng Liverpool,49117,Estádio Do Dragão,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
Quarterfinals,,Wed,2019-04-17,20:00 (14:00),Manchester City eng,1.5,4–3,1.5,eng Tottenham,53348,Etihad Stadium,Cüneyt Çakιr,Match Report,Leg 2 of 2; Tottenham won
Semifinals,,Tue,2019-04-30,20:00 (14:00),Tottenham eng,0.5,0–1,1.4,nl Ajax,60243,Tottenham Hotspur Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Semifinals,,Wed,2019-05-01,21:00 (14:00),Barcelona es,2.4,3–0,1.5,eng Liverpool,98299,Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2
Semifinals,,Tue,2019-05-07,20:00 (14:00),Liverpool eng,1.8,4–0,1.0,es Barcelona,55212,Anfield,Cüneyt Çakιr,Match Report,Leg 2 of 2; Liverpool won
Semifinals,,Wed,2019-05-08,21:00 (14:00),Ajax nl,1.3,2–3,3.4,eng Tottenham,52641,Johan Cruyff ArenA,Felix Brych,Match Report,Leg 2 of 2; Tottenham won
Final,,Sat,2019-06-01,21:00 (14:00),Tottenham eng,1.1,0–2,1.2,eng Liverpool,63272,Estadio Wanda Metropolitano,Damir Skomina,Match Report,
