Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Third Round,,Mon,2016-01-18,19:15 (13:15),Newport County,1–2,Blackburn,5083,Rodney Parade,Charles Breakspear,Match Report,
Third Round,,Tue,2016-01-19,19:45 (13:45),MK Dons,3–0,Northampton,15133,Stadium mk,Tony Harrington,Match Report,
Third Round,,Tue,2016-01-19,19:45 (13:45),Yeovil Town,(4) 1–1 (5),Carlisle United,4114,Huish Park Stadium,Tim Robinson,Match Report,Carlisle United won replayed match on penalty kicks following extra time
Third Round,,Tue,2016-01-19,19:45 (13:45),Bradford City,(2) 0–0 (4),Bury,6227,Northern Commercials Stadium,Geoff Eltringham,Match Report,Bury won replayed match on penalty kicks following extra time
Third Round,,Tue,2016-01-19,19:45 (13:45),Bristol City,0–1,West Brom,15185,Ashton Gate Stadium,Jonathan Moss,Match Report,
Third Round,,Tue,2016-01-19,19:45 (13:45),Portsmouth,2–1,Ipswich Town,15179,Fratton Park,Andy Woolmer,Match Report,
Third Round,,Tue,2016-01-19,19:45 (13:45),Aston Villa,2–0,Wycombe,20706,Villa Park,Craig Pawson,Match Report,
Third Round,,Tue,2016-01-19,20:00 (14:00),Bolton,3–2,Eastleigh,8287,Macron Stadium,Mark Clattenburg,Match Report,
Third Round,,Tue,2016-01-19,20:00 (14:00),Reading,5–2,Huddersfield,8119,Madejski Stadium,Oliver Langford,Match Report,
Third Round,,Wed,2016-01-20,19:45 (13:45),Leicester City,0–2,Tottenham,30006,King Power Stadium,Anthony Taylor,Match Report,
Third Round,,Wed,2016-01-20,20:00 (14:00),Liverpool,3–0,Exeter City,43292,Anfield,Niel Swarbrick,Match Report,
,,,,,,,,,,,,
Fourth Round,,Fri,2016-01-29,19:55 (13:55),Derby County,1–3,Manchester Utd,31134,iPro Stadium,Anthony Taylor,Match Report,
Fourth Round,,Sat,2016-01-30,12:45 (06:45),Colchester Utd,1–4,Tottenham,9920,JobServe Community Stadium,Michael Oliver,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Portsmouth,1–2,Bournemouth,18901,Fratton Park,Mike Dean,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Shrewsbury,3–2,Sheffield Weds,5699,Montgomery Waters Meadow,Paul Tierney,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Oxford United,0–3,Blackburn,11647,The Kassam Stadium,Andrew Davies,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Bury,1–3,Hull City,7064,Gigg Lane,Darren Bond,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Arsenal,2–1,Burnley,59932,Emirates Stadium,Roger East,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Aston Villa,0–4,Manchester City,23636,Villa Park,Mike Jones,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),West Brom,2–2,P'borough Utd,22517,The Hawthorns,Kevin Friend,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Bolton,1–2,Leeds United,17336,Macron Stadium,Andre Marriner,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Nott'ham Forest,0–1,Watford,24703,The City Ground,Niel Swarbrick,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Crystal Palace,1–0,Stoke City,17062,Selhurst Park,Mark Clattenburg,Match Report,
Fourth Round,,Sat,2016-01-30,15:00 (09:00),Reading,4–0,Walsall,13367,Madejski Stadium,Peter Bankes,Match Report,
Fourth Round,,Sat,2016-01-30,17:30 (11:30),Liverpool,0–0,West Ham,44006,Villa Park,Martin Atkinson,Match Report,
Fourth Round,,Sun,2016-01-31,13:30 (07:30),Carlisle United,0–3,Everton,17101,Brunton Park,Lee Mason,Match Report,
Fourth Round,,Sun,2016-01-31,16:00 (10:00),MK Dons,1–5,Chelsea,28127,Stadium mk,Jonathan Moss,Match Report,
Fourth Round,,Tue,2016-02-09,19:45 (13:45),West Ham,2–1,Liverpool,34433,Boleyn Ground,Roger East,Match Report,Required Extra Time
Fourth Round,,Wed,2016-02-10,19:45 (13:45),P'borough Utd,(3) 1–1 (4),West Brom,10632,ABAX Stadium,Mike Jones,Match Report,West Brom won replayed match on penalty kicks following extra time
,,,,,,,,,,,,
Fifth Round,,Sat,2016-02-20,12:45 (06:45),Arsenal,0–0,Hull City,59830,Emirates Stadium,Mike Dean,Match Report,
Fifth Round,,Sat,2016-02-20,15:00 (09:00),Reading,3–1,West Brom,19566,Madejski Stadium,Anthony Taylor,Match Report,
Fifth Round,,Sat,2016-02-20,15:00 (09:00),Watford,1–0,Leeds United,18336,Vicarage Road Stadium,Michael Oliver,Match Report,
Fifth Round,,Sat,2016-02-20,17:15 (11:15),Bournemouth,0–2,Everton,11404,Vitality Stadium,Martin Atkinson,Match Report,
Fifth Round,,Sun,2016-02-21,14:00 (08:00),Blackburn,1–5,West Ham,18793,Ewood Park,Jonathan Moss,Match Report,
Fifth Round,,Sun,2016-02-21,15:00 (09:00),Tottenham,0–1,Crystal Palace,35547,White Hart Lane,Craig Pawson,Match Report,
Fifth Round,,Sun,2016-02-21,16:00 (10:00),Chelsea,5–1,Manchester City,41594,Stamford Bridge,Andre Marriner,Match Report,
Fifth Round,,Mon,2016-02-22,19:45 (13:45),Shrewsbury,0–3,Manchester Utd,9370,Montgomery Waters Meadow,Robert Madley,Match Report,
Fifth Round,,Tue,2016-03-08,19:00 (13:00),Hull City,0–4,Arsenal,20993,Kingston Communications Stadium,Kevin Friend,Match Report,
,,,,,,,,,,,,
Quarter-finals,,Fri,2016-03-11,19:55 (13:55),Reading,0–2,Crystal Palace,23110,Madejski Stadium,Mike Dean,Match Report,
Quarter-finals,,Sat,2016-03-12,17:30 (11:30),Everton,2–0,Chelsea,37283,Goodison Park,Michael Oliver,Match Report,
Quarter-finals,,Sun,2016-03-13,13:30 (08:30),Arsenal,1–2,Watford,58436,Emirates Stadium,Andre Marriner,Match Report,
Quarter-finals,,Sun,2016-03-13,16:00 (11:00),Manchester Utd,1–1,West Ham,74298,Old Trafford,Anthony Taylor,Match Report,
Quarter-finals,,Wed,2016-04-13,19:00 (13:00),West Ham,1–2,Manchester Utd,33505,Boleyn Ground,Roger East,Match Report,
,,,,,,,,,,,,
Semi-finals,,Sat,2016-04-23,17:15 (11:15),Everton,1–2,Manchester Utd,86064,Wembley Stadium,Anthony Taylor,Match Report,
Semi-finals,,Sun,2016-04-24,16:00 (10:00),Crystal Palace,2–1,Watford,79110,Wembley Stadium,Craig Pawson,Match Report,
,,,,,,,,,,,,
Final,,Sat,2016-05-21,17:30 (11:30),Crystal Palace,1–2,Manchester Utd,88619,Wembley Stadium,Mark Clattenburg,Match Report,Required Extra Time
