Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Fri,2019-11-29,21:00 (14:00),Celta Vigo,0.9,0–0,0.5,Valladolid,16918,Estadio de Balaídos,Alberola Rojas,Match Report,
15,Sat,2019-11-30,13:00 (06:00),Alavés,1.5,1–2,2.1,Real Madrid,19357,Estadio de Mendizorroza,Guillermo Cuadra,Match Report,
15,Sat,2019-11-30,16:00 (09:00),Real Sociedad,1.6,4–1,0.8,Eibar,28612,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
15,Sat,2019-11-30,18:30 (11:30),Mallorca,2.5,1–2,2.9,Betis,16810,Iberostar Estadi,Juan Martínez,Match Report,
15,Sat,2019-11-30,21:00 (14:00),Valencia,1.1,2–1,2.2,Villarreal,38521,Estadio de Mestalla,César Soto,Match Report,
15,Sun,2019-12-01,12:00 (05:00),Sevilla,2.0,1–0,0.8,Leganés,33648,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
15,Sun,2019-12-01,14:00 (07:00),Athletic Bilbao,2.1,2–0,0.8,Granada,37974,San Mamés,Adrián Cordero,Match Report,
15,Sun,2019-12-01,16:00 (09:00),Espanyol,1.4,2–4,2.5,Osasuna,21238,RCDE Stadium,Mario Melero,Match Report,
15,Sun,2019-12-01,18:30 (11:30),Getafe,1.6,4–0,0.3,Levante,6535,Coliseum Alfonso Pérez,Javier Estrada,Match Report,
15,Sun,2019-12-01,21:00 (14:00),Atlético Madrid,1.4,0–1,1.0,Barcelona,64226,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
16,Fri,2019-12-06,21:00 (14:00),Villarreal,1.8,0–0,1.4,Atlético Madrid,17964,Estadio de la Cerámica,Alejandro Hernández,Match Report,
16,Sat,2019-12-07,13:00 (06:00),Real Madrid,1.8,2–0,0.4,Espanyol,64125,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
16,Sat,2019-12-07,16:00 (09:00),Granada,2.0,3–0,0.3,Alavés,14773,Estadio Nuevo Los Cármenes,Jesús Gil,Match Report,
16,Sat,2019-12-07,18:30 (11:30),Levante,2.2,2–4,2.6,Valencia,23137,Estadio Ciudad de Valencia,David Medié,Match Report,
16,Sat,2019-12-07,21:00 (14:00),Barcelona,3.5,5–2,1.1,Mallorca,71072,Camp Nou,José Luis Munuera,Match Report,
16,Sun,2019-12-08,12:00 (05:00),Eibar,0.4,0–1,0.9,Getafe,5969,Estadio Municipal de Ipurúa,Eduardo Prieto,Match Report,
16,Sun,2019-12-08,14:00 (07:00),Betis,1.5,3–2,0.9,Athletic Bilbao,46106,Estadio Benito Villamarín,Valentín Pizarro,Match Report,
16,Sun,2019-12-08,16:00 (09:00),Valladolid,0.5,0–0,1.5,Real Sociedad,18654,Estadio Municipal José Zorrilla,Pablo González,Match Report,
16,Sun,2019-12-08,18:30 (11:30),Leganés,0.9,3–2,0.4,Celta Vigo,7115,Estadio Municipal de Butarque,José Sánchez,Match Report,
16,Sun,2019-12-08,21:00 (14:00),Osasuna,0.9,1–1,1.5,Sevilla,15045,Estadio El Sadar,Javier Estrada,Match Report,
,,,,,,,,,,,,,
17,Fri,2019-12-13,21:00 (14:00),Alavés,1.0,1–1,0.7,Leganés,15567,Estadio de Mendizorroza,César Soto,Match Report,
17,Sat,2019-12-14,13:00 (06:00),Granada,1.0,1–2,1.0,Levante,14127,Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
17,Sat,2019-12-14,16:00 (09:00),Real Sociedad,2.5,2–2,2.0,Barcelona,36639,Estadio Municipal de Anoeta,Alberola Rojas,Match Report,
17,Sat,2019-12-14,18:30 (11:30),Athletic Bilbao,0.8,0–0,0.2,Eibar,43203,San Mamés,Mario Melero,Match Report,
17,Sat,2019-12-14,21:00 (14:00),Atlético Madrid,2.2,2–0,0.9,Osasuna,46033,Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
17,Sun,2019-12-15,12:00 (05:00),Getafe,0.9,2–0,0.5,Valladolid,10816,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
17,Sun,2019-12-15,14:00 (07:00),Celta Vigo,2.2,2–2,1.6,Mallorca,13247,Estadio de Balaídos,Ricardo de Burgos,Match Report,
17,Sun,2019-12-15,16:00 (09:00),Espanyol,1.4,2–2,0.9,Betis,22248,RCDE Stadium,Guillermo Cuadra,Match Report,
17,Sun,2019-12-15,18:30 (11:30),Sevilla,1.8,1–2,1.6,Villarreal,36521,Estadio Ramón Sánchez Pizjuán,Adrián Cordero,Match Report,
17,Sun,2019-12-15,21:00 (14:00),Valencia,1.7,1–1,1.4,Real Madrid,44230,Estadio de Mestalla,José Sánchez,Match Report,
,,,,,,,,,,,,,
10,Wed,2019-12-18,20:00 (13:00),Barcelona,0.8,0–0,1.1,Real Madrid,93426,Camp Nou,Alejandro Hernández,Match Report,
,,,,,,,,,,,,,
18,Fri,2019-12-20,21:00 (14:00),Eibar,2.3,3–0,1.4,Granada,5341,Estadio Municipal de Ipurúa,Pablo González,Match Report,
18,Sat,2019-12-21,13:00 (06:00),Mallorca,1.0,0–2,1.4,Sevilla,14321,Iberostar Estadi,Jesús Gil,Match Report,
18,Sat,2019-12-21,16:00 (09:00),Barcelona,2.1,4–1,0.6,Alavés,63054,Camp Nou,Mario Melero,Match Report,
18,Sat,2019-12-21,18:30 (11:30),Villarreal,1.8,1–0,0.6,Getafe,14526,Estadio de la Cerámica,Santiago Jaime,Match Report,
18,Sat,2019-12-21,21:00 (14:00),Valladolid,1.2,1–1,0.9,Valencia,16295,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
18,Sun,2019-12-22,12:00 (05:00),Leganés,0.9,2–0,0.6,Espanyol,10183,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
18,Sun,2019-12-22,14:00 (07:00),Osasuna,2.0,3–4,2.2,Real Sociedad,16197,Estadio El Sadar,David Medié,Match Report,
