Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,8,Sun,2018-10-07,18:00 (11:00),Elche,2–1,Lugo,10679,Estadio Manuel Martínez Valero,César Soto,Match Report,
Regular Season,8,Sun,2018-10-07,20:00 (13:00),Cádiz,1–1,Gimnàstic,12450,Estadio Ramón de Carranza,Saúl Ais,Match Report,
Regular Season,8,Mon,2018-10-08,20:00 (13:00),Majadahonda,2–1,Sporting Gijón,4508,Estadio Wanda Metropolitano,José López,Match Report,
Regular Season,8,Mon,2018-10-08,21:00 (14:00),Zaragoza,1–1,Osasuna,23850,Estadio de la Romareda,Gorka Sagues,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2018-10-12,16:00 (09:00),Málaga,2–1,Albacete,18709,Estadio La Rosaleda,Aitor Gorostegui,Match Report,
Regular Season,9,Fri,2018-10-12,18:00 (11:00),Extremadura,2–1,Cádiz,11023,Estadio Francisco de la Hera,Rubén Ávalos,Match Report,
Regular Season,9,Fri,2018-10-12,21:00 (14:00),La Coruña,4–0,Elche,17092,Estadio Municipal de Riazor,Valentín Pizarro,Match Report,
Regular Season,9,Sat,2018-10-13,16:00 (09:00),Osasuna,3–1,Córdoba,12996,Estadio El Sadar,Víctor Areces,Match Report,
Regular Season,9,Sat,2018-10-13,18:00 (11:00),Sporting Gijón,1–1,Reus,19026,Estadio Municipal El Molinón,Santiago Varón,Match Report,
Regular Season,9,Sat,2018-10-13,20:30 (13:30),Almería,3–0,Las Palmas,7339,Estadio de los Juegos Mediterráneos,Javier Villanueva,Match Report,
Regular Season,9,Sat,2018-10-13,20:30 (13:30),Numancia,1–0,Zaragoza,4953,Nuevo Estadio Los Pajaritos,Dámaso Arcediano,Match Report,
Regular Season,9,Sun,2018-10-14,12:00 (06:00),Tenerife,0–0,Lugo,10044,Estadio Heliodoro Rodríguez Lopéz,Luis Milla,Match Report,
Regular Season,9,Sun,2018-10-14,16:00 (09:00),Majadahonda,1–0,Oviedo,7217,Estadio Wanda Metropolitano,Jorge Figueroa,Match Report,
Regular Season,9,Sun,2018-10-14,20:45 (13:45),Granada,1–0,Mallorca,9454,Estadio Nuevo Los Cármenes,Juan Pulido,Match Report,
Regular Season,9,Mon,2018-10-15,16:00 (09:00),Gimnàstic,1–3,Alcorcón,3505,Nou Estadi de Tarragona,Daniel Trujillo,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2018-10-19,21:00 (14:00),Elche,2–0,Málaga,9565,Estadio Manuel Martínez Valero,Juan Pulido,Match Report,
Regular Season,10,Sat,2018-10-20,16:00 (09:00),Oviedo,2–1,Osasuna,12325,Estadio Nuevo Carlos Tartiere,Iñaki Bikandi,Match Report,
Regular Season,10,Sat,2018-10-20,17:00 (11:00),Las Palmas,3–0,Numancia,13413,Estadio de Gran Canaria,Gorka Sagues,Match Report,
Regular Season,10,Sat,2018-10-20,18:00 (11:00),Alcorcón,1–0,Granada,3020,Estadio Santo Domingo,Isidro Díaz de Mera,Match Report,
Regular Season,10,Sat,2018-10-20,20:00 (13:00),Córdoba,1–1,La Coruña,10604,Estadio Nuevo Arcángel,Saúl Ais,Match Report,
Regular Season,10,Sun,2018-10-21,12:00 (05:00),Mallorca,1–1,Extremadura,8100,Iberostar Estadi,Álvaro Moreno,Match Report,
Regular Season,10,Sun,2018-10-21,16:00 (09:00),Lugo,1–0,Gimnàstic,3161,Estadio Anxo Carro,José López,Match Report,
Regular Season,10,Sun,2018-10-21,18:00 (11:00),Reus,2–1,Majadahonda,2345,Estadio Camp Nou Municipal,Abraham Domínguez,Match Report,
Regular Season,10,Sun,2018-10-21,18:00 (11:00),Albacete,1–1,Almería,8075,Estadio Carlos Belmonte,Daniel Ocón,Match Report,
Regular Season,10,Sun,2018-10-21,20:00 (13:00),Zaragoza,1–1,Tenerife,21887,Estadio de la Romareda,Oliver De La Fuente,Match Report,
Regular Season,10,Sun,2018-10-21,20:30 (13:30),Cádiz,0–0,Sporting Gijón,11703,Estadio Ramón de Carranza,César Soto,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2018-10-26,21:00 (14:00),Sporting Gijón,0–0,Córdoba,16282,Estadio Municipal El Molinón,Javier Villanueva,Match Report,
Regular Season,11,Sat,2018-10-27,16:00 (09:00),La Coruña,2–0,Reus,15482,Estadio Municipal de Riazor,Daniel Trujillo,Match Report,
Regular Season,11,Sat,2018-10-27,18:00 (11:00),Mallorca,2–2,Las Palmas,5835,Iberostar Estadi,David Pérez,Match Report,
Regular Season,11,Sat,2018-10-27,18:00 (11:00),Granada,1–0,Almería,10228,Estadio Nuevo Los Cármenes,Dámaso Arcediano,Match Report,
Regular Season,11,Sat,2018-10-27,19:30 (13:30),Tenerife,3–2,Alcorcón,8964,Estadio Heliodoro Rodríguez Lopéz,Rubén Ávalos,Match Report,
Regular Season,11,Sat,2018-10-27,20:30 (13:30),Lugo,1–2,Cádiz,3774,Estadio Anxo Carro,Daniel Ocón,Match Report,
Regular Season,11,Sun,2018-10-28,12:00 (06:00),Gimnàstic,2–1,Oviedo,4631,Nou Estadi de Tarragona,Aitor Gorostegui,Match Report,
Regular Season,11,Sun,2018-10-28,18:00 (12:00),Majadahonda,1–1,Osasuna,2482,Estadio Wanda Metropolitano,Luis Milla,Match Report,
Regular Season,11,Sun,2018-10-28,18:00 (12:00),Extremadura,1–2,Albacete,8673,Estadio Francisco de la Hera,Víctor Areces,Match Report,
Regular Season,11,Sun,2018-10-28,20:30 (14:30),Elche,2–0,Zaragoza,9342,Estadio Manuel Martínez Valero,Jorge Figueroa,Match Report,
Regular Season,11,Mon,2018-10-29,21:00 (15:00),Málaga,2–0,Numancia,14554,Estadio La Rosaleda,Valentín Pizarro,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2018-11-02,21:00 (15:00),Albacete,2–0,Gimnàstic,7099,Estadio Carlos Belmonte,Santiago Varón,Match Report,
Regular Season,12,Sat,2018-11-03,16:00 (10:00),Reus,0–0,Lugo,2420,Estadio Camp Nou Municipal,Álvaro Moreno,Match Report,
Regular Season,12,Sat,2018-11-03,18:00 (12:00),Osasuna,2–1,Málaga,14052,Estadio El Sadar,Oliver De La Fuente,Match Report,
Regular Season,12,Sat,2018-11-03,18:00 (12:00),Numancia,2–0,Tenerife,3191,Nuevo Estadio Los Pajaritos,Víctor Areces,Match Report,
Regular Season,12,Sat,2018-11-03,20:00 (14:00),Córdoba,4–2,Extremadura,12079,Estadio Nuevo Arcángel,Juan Pulido,Match Report,
Regular Season,12,Sat,2018-11-03,19:30 (14:30),Las Palmas,1–1,La Coruña,15499,Estadio de Gran Canaria,César Soto,Match Report,
Regular Season,12,Sun,2018-11-04,12:00 (05:00),Cádiz,5–1,Elche,12714,Estadio Ramón de Carranza,Gorka Sagues,Match Report,
Regular Season,12,Sun,2018-11-04,16:00 (09:00),Oviedo,1–1,Mallorca,13038,Estadio Nuevo Carlos Tartiere,José López,Match Report,
Regular Season,12,Sun,2018-11-04,18:00 (11:00),Almería,2–1,Sporting Gijón,7424,Estadio de los Juegos Mediterráneos,Saúl Ais,Match Report,
Regular Season,12,Sun,2018-11-04,18:00 (11:00),Alcorcón,2–0,Majadahonda,3148,Estadio Santo Domingo,David Pérez,Match Report,
Regular Season,12,Sun,2018-11-04,20:30 (13:30),Zaragoza,0–2,Granada,19326,Estadio de la Romareda,Iñaki Bikandi,Match Report,
,,,,,,,,,,,,
Regular Season,13,Sat,2018-11-10,16:00 (09:00),Cádiz,2–0,Reus,13229,Estadio Ramón de Carranza,Valentín Pizarro,Match Report,
Regular Season,13,Sat,2018-11-10,18:00 (11:00),Lugo,0–1,Alcorcón,2920,Estadio Anxo Carro,Jorge Figueroa,Match Report,
Regular Season,13,Sat,2018-11-10,18:00 (11:00),Extremadura,2–3,Osasuna,8237,Estadio Francisco de la Hera,Dámaso Arcediano,Match Report,
Regular Season,13,Sat,2018-11-10,20:30 (13:30),Elche,0–0,Las Palmas,9740,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Match Report,
Regular Season,13,Sat,2018-11-10,20:30 (13:30),La Coruña,4–0,Oviedo,18739,Estadio Municipal de Riazor,Daniel Ocón,Match Report,
Regular Season,13,Sun,2018-11-11,12:00 (05:00),Granada,0–0,Numancia,13227,Estadio Nuevo Los Cármenes,Javier Villanueva,Match Report,
Regular Season,13,Sun,2018-11-11,16:00 (09:00),Majadahonda,2–0,Almería,2216,Estadio Wanda Metropolitano,Aitor Gorostegui,Match Report,
Regular Season,13,Sun,2018-11-11,18:00 (11:00),Mallorca,3–0,Córdoba,7989,Iberostar Estadi,Daniel Trujillo,Match Report,
Regular Season,13,Sun,2018-11-11,18:00 (11:00),Sporting Gijón,2–2,Málaga,18720,Estadio Municipal El Molinón,Gorka Sagues,Match Report,
Regular Season,13,Sun,2018-11-11,19:00 (13:00),Tenerife,0–0,Albacete,10528,Estadio Heliodoro Rodríguez Lopéz,Abraham Domínguez,Match Report,
Regular Season,13,Mon,2018-11-12,21:00 (14:00),Gimnàstic,1–3,Zaragoza,4348,Nou Estadi de Tarragona,Luis Milla,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2018-11-16,20:00 (14:00),Las Palmas,2–2,Granada,12056,Estadio de Gran Canaria,Víctor Areces,Match Report,
Regular Season,14,Sat,2018-11-17,16:00 (09:00),Málaga,2–0,Gimnàstic,17256,Estadio La Rosaleda,Álvaro Moreno,Match Report,
Regular Season,14,Sat,2018-11-17,18:00 (11:00),Osasuna,2–0,Tenerife,14182,Estadio El Sadar,José López,Match Report,
Regular Season,14,Sat,2018-11-17,18:00 (11:00),Reus,1–4,Extremadura,2932,Estadio Camp Nou Municipal,Santiago Varón,Match Report,
Regular Season,14,Sat,2018-11-17,20:30 (13:30),Zaragoza,2–2,Mallorca,21461,Estadio de la Romareda,Saúl Ais,Match Report,
Regular Season,14,Sat,2018-11-17,20:45 (13:45),Oviedo,2–1,Sporting Gijón,23175,Estadio Nuevo Carlos Tartiere,Daniel Trujillo,Match Report,
Regular Season,14,Sun,2018-11-18,12:00 (05:00),Numancia,1–2,Majadahonda,2953,Nuevo Estadio Los Pajaritos,Juan Pulido,Match Report,
Regular Season,14,Sun,2018-11-18,16:00 (09:00),Córdoba,1–3,Cádiz,13727,Estadio Nuevo Arcángel,David Pérez,Match Report,
Regular Season,14,Sun,2018-11-18,18:00 (11:00),Alcorcón,1–0,Elche,2171,Estadio Santo Domingo,César Soto,Match Report,
Regular Season,14,Sun,2018-11-18,18:00 (11:00),Albacete,1–0,Lugo,6405,Estadio Carlos Belmonte,Iñaki Bikandi,Match Report,
Regular Season,14,Mon,2018-11-19,21:00 (14:00),Almería,1–1,La Coruña,5977,Estadio de los Juegos Mediterráneos,Rubén Ávalos,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2018-11-23,21:00 (14:00),Granada,1–2,Sporting Gijón,10035,Estadio Nuevo Los Cármenes,Daniel Ocón,Match Report,
Regular Season,15,Sat,2018-11-24,16:00 (09:00),Gimnàstic,2–2,Almería,6514,Nou Estadi de Tarragona,Valentín Pizarro,Match Report,
