Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,10,Fri,2014-10-17,20:30 (13:30),Nürnberg,1–0,RB Leipzig,28571,Max-Morlock-Stadion,Jochen Drees,Match Report,
Regular Season,10,Sat,2014-10-18,13:00 (06:00),Union Berlin,3–1,Sandhausen,17106,Stadion An der Alten Försterei,Thorsten Schriever,Match Report,
Regular Season,10,Sat,2014-10-18,13:00 (06:00),Braunschweig,2–2,Greuther Fürth,21200,Eintracht-Stadion,Markus Schmidt,Match Report,
Regular Season,10,Sun,2014-10-19,13:30 (06:30),Karlsruher,0–0,Aalen,12494,Wildparkstadion,Markus Wingenbach,Match Report,
Regular Season,10,Sun,2014-10-19,13:30 (06:30),Erzgebirge Aue,4–1,1860 Munich,10000,Sparkassen-Erzgebirgsstadion,Timo Gerach,Match Report,
Regular Season,10,Sun,2014-10-19,13:30 (06:30),FSV Frankfurt,0–1,Ingolstadt 04,4160,Frankfurter Volksbank Stadion,Norbert Grudzinski,Match Report,
Regular Season,10,Mon,2014-10-20,20:15 (13:15),Düsseldorf,1–0,St. Pauli,36255,Merkur Spielarena,Frank Willenborg,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2014-10-24,18:30 (11:30),Aalen,1–2,Union Berlin,5435,Scholz Arena,Sven Jablonski,Match Report,
Regular Season,11,Fri,2014-10-24,18:30 (11:30),Greuther Fürth,2–5,FSV Frankfurt,9805,Sportpark Ronhof Thomas Sommer,René Rohde,Match Report,
Regular Season,11,Fri,2014-10-24,18:30 (11:30),RB Leipzig,2–0,Bochum,30194,Red Bull Arena,Benjamin Brand,Match Report,
Regular Season,11,Sat,2014-10-25,13:00 (06:00),St. Pauli,0–4,Karlsruher,28029,Millerntor-Stadion,Sascha Stegemann,Match Report,
Regular Season,11,Sat,2014-10-25,13:00 (06:00),Kaiserslautern,1–1,Düsseldorf,36282,Fritz-Walter-Stadion,Wolfgang Stark,Match Report,
Regular Season,11,Sun,2014-10-26,13:30 (07:30),1860 Munich,1–2,Braunschweig,20300,Allianz Arena,Robert Kempter,Match Report,
Regular Season,11,Sun,2014-10-26,13:30 (07:30),Sandhausen,1–1,Erzgebirge Aue,4066,Hardtwaldstadion,Daniel Siebert,Match Report,
Regular Season,11,Sun,2014-10-26,13:30 (07:30),Ingolstadt 04,1–0,Heidenheim,9156,Audi-Sportpark,Florian Meyer,Match Report,
Regular Season,11,Mon,2014-10-27,20:15 (14:15),Darmstadt 98,3–0,Nürnberg,16150,Jonathan-Heimes-Stadion am Böllenfalltor,Martin Petersen,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2014-10-31,18:30 (12:30),Düsseldorf,0–0,Ingolstadt 04,33878,Merkur Spielarena,Felix Zwayer,Match Report,
Regular Season,12,Fri,2014-10-31,18:30 (12:30),Karlsruher,1–1,Sandhausen,13203,Wildparkstadion,Christian Bandurski,Match Report,
Regular Season,12,Fri,2014-10-31,18:30 (12:30),Union Berlin,0–1,Greuther Fürth,18702,Stadion An der Alten Försterei,Martin Thomsen,Match Report,
Regular Season,12,Sat,2014-11-01,13:00 (07:00),Nürnberg,2–2,St. Pauli,37033,Max-Morlock-Stadion,Bibiana Steinhaus,Match Report,
Regular Season,12,Sat,2014-11-01,13:00 (07:00),Heidenheim,1–1,Darmstadt 98,12000,Voith-Arena,Markus Wingenbach,Match Report,
Regular Season,12,Sun,2014-11-02,13:30 (06:30),Braunschweig,2–1,Aalen,21140,Eintracht-Stadion,Benjamin Cortus,Match Report,
Regular Season,12,Sun,2014-11-02,13:30 (06:30),Bochum,0–3,1860 Munich,15607,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,
Regular Season,12,Sun,2014-11-02,13:30 (06:30),FSV Frankfurt,1–1,Erzgebirge Aue,4056,Frankfurter Volksbank Stadion,Christian Dietz,Match Report,
Regular Season,12,Mon,2014-11-03,20:15 (13:15),RB Leipzig,0–0,Kaiserslautern,25637,Red Bull Arena,Günter Perl,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2014-11-07,18:30 (11:30),Kaiserslautern,2–2,Bochum,24708,Fritz-Walter-Stadion,Robert Kampka,Match Report,
Regular Season,13,Fri,2014-11-07,18:30 (11:30),Aalen,0–1,FSV Frankfurt,5388,Scholz Arena,Aarne Aarnink,Match Report,
Regular Season,13,Fri,2014-11-07,18:30 (11:30),Sandhausen,2–1,Nürnberg,6436,Hardtwaldstadion,Norbert Grudzinski,Match Report,
Regular Season,13,Sat,2014-11-08,13:00 (06:00),St. Pauli,0–3,Heidenheim,22884,Millerntor-Stadion,Benjamin Brand,Match Report,
Regular Season,13,Sat,2014-11-08,13:00 (06:00),Darmstadt 98,1–0,RB Leipzig,14400,Jonathan-Heimes-Stadion am Böllenfalltor,Christian Dingert,Match Report,
Regular Season,13,Sun,2014-11-09,13:30 (06:30),Ingolstadt 04,3–3,Union Berlin,8008,Audi-Sportpark,Tobias Stieler,Match Report,
Regular Season,13,Sun,2014-11-09,13:30 (06:30),Erzgebirge Aue,1–2,Braunschweig,10050,Sparkassen-Erzgebirgsstadion,Bastian Dankert,Match Report,
Regular Season,13,Sun,2014-11-09,13:30 (06:30),Greuther Fürth,0–3,Karlsruher,11485,Sportpark Ronhof Thomas Sommer,Thorsten Kinhöfer,Match Report,
Regular Season,13,Mon,2014-11-10,20:15 (13:15),1860 Munich,0–1,Düsseldorf,19300,Allianz Arena,Harm Osmers,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2014-11-21,18:30 (11:30),Bochum,4–0,Aalen,11709,Vonovia Ruhrstadion,Günter Perl,Match Report,
Regular Season,14,Fri,2014-11-21,18:30 (11:30),Heidenheim,3–0,Sandhausen,11000,Voith-Arena,Frank Willenborg,Match Report,
Regular Season,14,Fri,2014-11-21,20:30 (13:30),Kaiserslautern,0–0,Darmstadt 98,36013,Fritz-Walter-Stadion,Bibiana Steinhaus,Match Report,
Regular Season,14,Sat,2014-11-22,13:00 (06:00),FSV Frankfurt,0–3,Braunschweig,5423,Frankfurter Volksbank Stadion,Christian Bandurski,Match Report,
Regular Season,14,Sat,2014-11-22,13:00 (06:00),Union Berlin,1–4,1860 Munich,19026,Stadion An der Alten Försterei,Martin Petersen,Match Report,
Regular Season,14,Sun,2014-11-23,13:30 (06:30),Karlsruher,1–0,Erzgebirge Aue,12064,Wildparkstadion,Aarne Aarnink,Match Report,
Regular Season,14,Sun,2014-11-23,13:30 (06:30),RB Leipzig,4–1,St. Pauli,38660,Red Bull Arena,Manuel Gräfe,Match Report,
Regular Season,14,Sun,2014-11-23,13:30 (06:30),Nürnberg,2–1,Ingolstadt 04,32065,Max-Morlock-Stadion,Peter Sippel,Match Report,
Regular Season,14,Mon,2014-11-24,20:15 (13:15),Düsseldorf,3–3,Greuther Fürth,28791,Merkur Spielarena,Jochen Drees,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2014-11-28,18:30 (11:30),Greuther Fürth,0–0,Heidenheim,10130,Sportpark Ronhof Thomas Sommer,Tobias Welz,Match Report,
Regular Season,15,Fri,2014-11-28,18:30 (11:30),Erzgebirge Aue,1–2,Union Berlin,9100,Sparkassen-Erzgebirgsstadion,Markus Schmidt,Match Report,
Regular Season,15,Fri,2014-11-28,18:30 (11:30),Darmstadt 98,0–0,Karlsruher,15200,Jonathan-Heimes-Stadion am Böllenfalltor,Benjamin Cortus,Match Report,
Regular Season,15,Sat,2014-11-29,13:00 (06:00),Ingolstadt 04,3–0,Bochum,6779,Audi-Sportpark,Norbert Grudzinski,Match Report,
Regular Season,15,Sat,2014-11-29,13:00 (06:00),Aalen,2–0,Düsseldorf,7107,Scholz Arena,Peter Sippel,Match Report,
Regular Season,15,Sun,2014-11-30,13:30 (06:30),1860 Munich,0–2,FSV Frankfurt,13800,Allianz Arena,Markus Wingenbach,Match Report,
Regular Season,15,Sun,2014-11-30,13:30 (06:30),Sandhausen,0–0,RB Leipzig,4518,Hardtwaldstadion,René Rohde,Match Report,
Regular Season,15,Sun,2014-11-30,13:30 (06:30),St. Pauli,1–3,Kaiserslautern,23584,Millerntor-Stadion,Robert Hartmann,Match Report,
Regular Season,15,Mon,2014-12-01,20:15 (13:15),Braunschweig,1–0,Nürnberg,21515,Eintracht-Stadion,Guido Winkmann,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2014-12-05,18:30 (11:30),Heidenheim,0–1,Aalen,13000,Voith-Arena,Daniel Siebert,Match Report,
Regular Season,16,Fri,2014-12-05,18:30 (11:30),Bochum,3–3,St. Pauli,17134,Vonovia Ruhrstadion,Sven Jablonski,Match Report,
Regular Season,16,Fri,2014-12-05,18:30 (11:30),Düsseldorf,1–3,Sandhausen,27274,Merkur Spielarena,Felix Brych,Match Report,
Regular Season,16,Sat,2014-12-06,13:00 (06:00),Kaiserslautern,3–0,Erzgebirge Aue,23418,Fritz-Walter-Stadion,Norbert Grudzinski,Match Report,
Regular Season,16,Sat,2014-12-06,13:00 (06:00),Darmstadt 98,0–0,Greuther Fürth,11200,Jonathan-Heimes-Stadion am Böllenfalltor,Guido Winkmann,Match Report,
Regular Season,16,Sun,2014-12-07,13:30 (06:30),Karlsruher,1–0,Braunschweig,13113,Wildparkstadion,Jochen Drees,Match Report,
Regular Season,16,Sun,2014-12-07,13:30 (06:30),Union Berlin,2–1,FSV Frankfurt,15802,Stadion An der Alten Försterei,Bastian Dankert,Match Report,
Regular Season,16,Sun,2014-12-07,13:30 (06:30),RB Leipzig,0–1,Ingolstadt 04,23985,Red Bull Arena,Patrick Ittrich,Match Report,
Regular Season,16,Mon,2014-12-08,20:15 (13:15),Nürnberg,2–1,1860 Munich,31079,Max-Morlock-Stadion,Robert Kampka,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2014-12-12,18:30 (11:30),Sandhausen,0–0,Bochum,4023,Hardtwaldstadion,Michael Weiner,Match Report,
Regular Season,17,Fri,2014-12-12,18:30 (11:30),Greuther Fürth,0–1,RB Leipzig,10225,Sportpark Ronhof Thomas Sommer,Sascha Stegemann,Match Report,
Regular Season,17,Fri,2014-12-12,18:30 (11:30),Erzgebirge Aue,1–1,Heidenheim,5600,Sparkassen-Erzgebirgsstadion,Christian Dietz,Match Report,
Regular Season,17,Sat,2014-12-13,13:00 (06:00),FSV Frankfurt,0–2,Düsseldorf,7021,Frankfurter Volksbank Stadion,Benjamin Brand,Match Report,
Regular Season,17,Sat,2014-12-13,13:00 (06:00),Braunschweig,1–1,Union Berlin,23050,Eintracht-Stadion,Robert Kempter,Match Report,
Regular Season,17,Sat,2014-12-13,13:00 (06:00),1860 Munich,2–3,Karlsruher,16400,Allianz Arena,Thorsten Schriever,Match Report,
Regular Season,17,Sun,2014-12-14,13:30 (06:30),St. Pauli,0–1,Darmstadt 98,23828,Millerntor-Stadion,Harm Osmers,Match Report,
Regular Season,17,Sun,2014-12-14,13:30 (06:30),Aalen,1–2,Nürnberg,11184,Scholz Arena,Frank Willenborg,Match Report,
Regular Season,17,Sun,2014-12-14,13:30 (06:30),Ingolstadt 04,2–0,Kaiserslautern,13359,Audi-Sportpark,Knut Kircher,Match Report,
,,,,,,,,,,,,
Regular Season,18,Tue,2014-12-16,17:30 (10:30),FSV Frankfurt,2–0,Heidenheim,5147,Frankfurter Volksbank Stadion,Aarne Aarnink,Match Report,
Regular Season,18,Tue,2014-12-16,17:30 (10:30),Braunschweig,2–1,Düsseldorf,21410,Eintracht-Stadion,Sascha Stegemann,Match Report,
Regular Season,18,Tue,2014-12-16,17:30 (10:30),Greuther Fürth,0–0,Bochum,8750,Sportpark Ronhof Thomas Sommer,Martin Petersen,Match Report,
Regular Season,18,Tue,2014-12-16,17:30 (10:30),Union Berlin,2–0,Karlsruher,17084,Stadion An der Alten Försterei,Patrick Ittrich,Match Report,
Regular Season,18,Wed,2014-12-17,17:30 (10:30),Ingolstadt 04,2–1,St. Pauli,9550,Audi-Sportpark,Bibiana Steinhaus,Match Report,
Regular Season,18,Wed,2014-12-17,17:30 (10:30),Aalen,0–0,RB Leipzig,5015,Scholz Arena,Markus Wingenbach,Match Report,
Regular Season,18,Wed,2014-12-17,17:30 (10:30),1860 Munich,1–1,Kaiserslautern,13800,Allianz Arena,Thorsten Kinhöfer,Match Report,
Regular Season,18,Wed,2014-12-17,17:30 (10:30),Sandhausen,1–2,Darmstadt 98,5096,Hardtwaldstadion,Sven Jablonski,Match Report,
Regular Season,18,Wed,2014-12-17,17:30 (10:30),Erzgebirge Aue,0–1,Nürnberg,8200,Sparkassen-Erzgebirgsstadion,Tobias Stieler,Match Report,
,,,,,,,,,,,,
Regular Season,19,Fri,2014-12-19,18:30 (11:30),Heidenheim,0–1,Braunschweig,11800,Voith-Arena,Felix Brych,Match Report,
Regular Season,19,Fri,2014-12-19,18:30 (11:30),Karlsruher,4–1,FSV Frankfurt,12117,Wildparkstadion,Michael Weiner,Match Report,
Regular Season,19,Fri,2014-12-19,18:30 (11:30),Düsseldorf,1–0,Union Berlin,28256,Merkur Spielarena,Christian Dingert,Match Report,
Regular Season,19,Sat,2014-12-20,13:00 (06:00),St. Pauli,3–1,Aalen,21712,Millerntor-Stadion,Christian Bandurski,Match Report,
Regular Season,19,Sat,2014-12-20,13:00 (06:00),Nürnberg,0–0,Greuther Fürth,47501,Max-Morlock-Stadion,Florian Meyer,Match Report,
Regular Season,19,Sun,2014-12-21,13:30 (06:30),Kaiserslautern,1–0,Sandhausen,27818,Fritz-Walter-Stadion,Martin Thomsen,Match Report,
Regular Season,19,Sun,2014-12-21,13:30 (06:30),Bochum,1–1,Erzgebirge Aue,12025,Vonovia Ruhrstadion,Robert Kampka,Match Report,
Regular Season,19,Sun,2014-12-21,13:30 (06:30),Darmstadt 98,2–2,Ingolstadt 04,14300,Jonathan-Heimes-Stadion am Böllenfalltor,Frank Willenborg,Match Report,
Regular Season,19,Mon,2014-12-22,20:15 (13:15),RB Leipzig,1–1,1860 Munich,27330,Red Bull Arena,Daniel Siebert,Match Report,
,,,,,,,,,,,,
Regular Season,20,Fri,2015-02-06,18:30 (11:30),Erzgebirge Aue,2–0,RB Leipzig,13600,Sparkassen-Erzgebirgsstadion,Benjamin Cortus,Match Report,
