Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,6,Wed,2016-12-07,20:45 (13:45),Club Brugge be,0–2,dk FC Copenhagen,18981,Jan Breydelstadion,Michael Oliver,Match Report,
Group Stage,6,Wed,2016-12-07,20:45 (13:45),Juventus it,2–0,hr Dinamo Zagreb,39380,Allianz Stadium,Anthony Taylor,Match Report,
Group Stage,6,Wed,2016-12-07,20:45 (13:45),Legia Warsaw pl,1–0,pt Sporting CP,28232,Stadion Miejski Legii Warszawa im. Marsz...,Gianluca Rocchi,Match Report,
Group Stage,6,Wed,2016-12-07,20:45 (13:45),Lyon fr,0–0,es Sevilla,52423,Groupama Stadium,Jonas Eriksson,Match Report,
,,,,,,,,,,,,
Round of 16,,Tue,2017-02-14,19:45 (13:45),Benfica pt,1–0,de Dortmund,55124,Estádio do Sport Lisboa e Benfica,Nicola Rizzoli,Match Report,Leg 1 of 2
Round of 16,,Tue,2017-02-14,20:45 (13:45),Paris S-G fr,4–0,es Barcelona,46484,Parc des Princes,Szymon Marciniak,Match Report,Leg 1 of 2
Round of 16,,Wed,2017-02-15,20:45 (13:45),Bayern Munich de,5–1,eng Arsenal,70000,Allianz Arena,Milorad Mažić,Match Report,Leg 1 of 2
Round of 16,,Wed,2017-02-15,20:45 (13:45),Real Madrid es,3–1,it Napoli,78000,Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 1 of 2
Round of 16,,Tue,2017-02-21,19:45 (13:45),Manchester City eng,5–3,fr Monaco,53351,Etihad Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Round of 16,,Tue,2017-02-21,20:45 (13:45),Bayer de,2–4,es Atlético Madrid,29300,BayArena,William Collum,Match Report,Leg 1 of 2
Round of 16,,Wed,2017-02-22,19:45 (13:45),Porto pt,0–2,it Juventus,49229,Estádio Do Dragão,Felix Brych,Match Report,Leg 1 of 2
Round of 16,,Wed,2017-02-22,20:45 (13:45),Sevilla es,2–1,eng Leicester City,38834,Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2
Round of 16,,Tue,2017-03-07,19:45 (13:45),Arsenal eng,1–5,de Bayern Munich,59911,Emirates Stadium,Tasos Sidiropoulos,Match Report,Leg 2 of 2; Bayern Munich won
Round of 16,,Tue,2017-03-07,20:45 (13:45),Napoli it,1–3,es Real Madrid,56695,Stadio San Paolo,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
Round of 16,,Wed,2017-03-08,20:45 (13:45),Dortmund de,4–0,pt Benfica,65849,Signal Iduna Park,Martin Atkinson,Match Report,Leg 2 of 2; Dortmund won
Round of 16,,Wed,2017-03-08,20:45 (13:45),Barcelona es,6–1,fr Paris S-G,96290,Camp Nou,Deniz Aytekin,Match Report,Leg 2 of 2; Barcelona won
Round of 16,,Tue,2017-03-14,19:45 (14:45),Leicester City eng,2–0,es Sevilla,31520,King Power Stadium,Daniele Orsato,Match Report,Leg 2 of 2; Leicester City won
Round of 16,,Tue,2017-03-14,20:45 (14:45),Juventus it,1–0,pt Porto,41161,Allianz Stadium,Ovidiu Hațegan,Match Report,Leg 2 of 2; Juventus won
Round of 16,,Wed,2017-03-15,20:45 (14:45),Monaco fr,3–1,eng Manchester City,15700,Stade Louis II.,Gianluca Rocchi,Match Report,Leg 2 of 2; Monaco won
Round of 16,,Wed,2017-03-15,20:45 (14:45),Atlético Madrid es,0–0,de Bayer,49133,Estadio Vicente Calderón,Sergey Karasev,Match Report,Leg 2 of 2; Atlético Madrid won
Quarterfinals,,Tue,2017-04-11,20:45 (13:45),Juventus it,3–0,es Barcelona,41092,Allianz Stadium,Szymon Marciniak,Match Report,Leg 1 of 2
Quarterfinals,,Wed,2017-04-12,18:45 (11:45),Dortmund de,2–3,fr Monaco,65849,Signal Iduna Park,Daniele Orsato,Match Report,Leg 1 of 2
Quarterfinals,,Wed,2017-04-12,20:45 (13:45),Atlético Madrid es,1–0,eng Leicester City,51423,Estadio Vicente Calderón,Jonas Eriksson,Match Report,Leg 1 of 2
Quarterfinals,,Wed,2017-04-12,20:45 (13:45),Bayern Munich de,1–2,es Real Madrid,70000,Allianz Arena,Nicola Rizzoli,Match Report,Leg 1 of 2
Quarterfinals,,Tue,2017-04-18,19:45 (13:45),Leicester City eng,1–1,es Atlético Madrid,31548,King Power Stadium,Gianluca Rocchi,Match Report,Leg 2 of 2; Atlético Madrid won
Quarterfinals,,Tue,2017-04-18,20:45 (13:45),Real Madrid es,4–2,de Bayern Munich,78346,Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
Quarterfinals,,Wed,2017-04-19,20:45 (13:45),Barcelona es,0–0,it Juventus,96290,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
Quarterfinals,,Wed,2017-04-19,20:45 (13:45),Monaco fr,3–1,de Dortmund,17135,Stade Louis II.,Damir Skomina,Match Report,Leg 2 of 2; Monaco won
Semifinals,,Tue,2017-05-02,20:45 (13:45),Real Madrid es,3–0,es Atlético Madrid,77609,Estadio Santiago Bernabéu,Martin Atkinson,Match Report,Leg 1 of 2
Semifinals,,Wed,2017-05-03,20:45 (13:45),Monaco fr,0–2,it Juventus,16762,Stade Louis II.,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Semifinals,,Tue,2017-05-09,20:45 (13:45),Juventus it,2–1,fr Monaco,40244,Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
Semifinals,,Wed,2017-05-10,20:45 (13:45),Atlético Madrid es,2–1,es Real Madrid,53422,Estadio Vicente Calderón,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
Final,,Sat,2017-06-03,19:45 (13:45),Juventus it,1–4,es Real Madrid,65842,National Stadium,Felix Brych,Match Report,
