Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
9,Wed,2019-10-02,19:00 (12:00),CD Mirandés,1–1,Lugo,2960,Estadio Municipal de Anduva,Juan Pulido,Match Report,
9,Wed,2019-10-02,19:00 (12:00),Cádiz,1–0,Huesca,15099,Estadio Ramón de Carranza,Javier Villanueva,Match Report,
9,Wed,2019-10-02,20:00 (14:00),Tenerife,0–1,Oviedo,9813,Estadio Heliodoro Rodríguez Lopéz,José López,Match Report,
9,Wed,2019-10-02,21:00 (14:00),Ponferradina,0–2,Las Palmas,5008,Estadio El Toralín,Iosu Galech,Match Report,
9,Thu,2019-10-03,19:00 (12:00),Zaragoza,2–2,Málaga,22927,Estadio de la Romareda,Daniel Ocón,Match Report,
9,Thu,2019-10-03,19:00 (12:00),Sporting Gijón,4–2,Almería,16310,Estadio Municipal El Molinón,Álvaro Moreno,Match Report,
9,Thu,2019-10-03,21:00 (14:00),Girona,3–1,La Coruña,7795,Estadi Municipal de Montilivi,Jorge Figueroa,Match Report,
,,,,,,,,,,,
10,Fri,2019-10-04,21:00 (14:00),Alcorcón,0–1,Albacete,2457,Estadio Santo Domingo,Iñaki Bikandi,Match Report,
10,Sat,2019-10-05,16:00 (09:00),Lugo,0–2,Las Palmas,2634,Estadio Anxo Carro,Santiago Varón,Match Report,
10,Sat,2019-10-05,18:00 (11:00),Elche,1–1,Rayo Vallecano,9064,Estadio Manuel Martínez Valero,Aitor Gorostegui,Match Report,
10,Sat,2019-10-05,20:00 (13:00),Ponferradina,2–0,CD Mirandés,5426,Estadio El Toralín,Luis Milla,Match Report,
10,Sat,2019-10-05,19:30 (13:30),Tenerife,1–2,Extremadura,9799,Estadio Heliodoro Rodríguez Lopéz,Saúl Ais,Match Report,
10,Sun,2019-10-06,12:00 (05:00),Fuenlabrada,2–0,Sporting Gijón,5345,Estadio Fernando Torres,Isidro Díaz de Mera,Match Report,
10,Sun,2019-10-06,16:00 (09:00),Zaragoza,0–2,Cádiz,26923,Estadio de la Romareda,Oliver De La Fuente,Match Report,
10,Sun,2019-10-06,16:00 (09:00),Oviedo,1–1,Numancia,12006,Estadio Nuevo Carlos Tartiere,Daniel Trujillo,Match Report,
10,Sun,2019-10-06,18:30 (11:30),La Coruña,0–0,Almería,15611,Estadio Municipal de Riazor,Gorka Sagues,Match Report,
10,Sun,2019-10-06,20:00 (13:00),Huesca,2–0,Málaga,6363,Estadio El Alcoraz,Miguel Ángel Ortiz Arias,Match Report,
10,Sun,2019-10-06,20:30 (13:30),Santander,0–3,Girona,12104,Campos de Sport de El Sardinero,Dámaso Arcediano,Match Report,
,,,,,,,,,,,
11,Fri,2019-10-11,21:00 (14:00),Rayo Vallecano,2–1,Tenerife,9335,Estadio del Rayo Vallecano,Víctor Areces,Match Report,
11,Sat,2019-10-12,12:00 (05:00),Girona,0–2,Elche,8406,Estadi Municipal de Montilivi,Daniel Ocón,Match Report,
11,Sat,2019-10-12,16:00 (09:00),Almería,0–0,Lugo,10246,Estadio de los Juegos Mediterráneos,Iosu Galech,Match Report,
11,Sat,2019-10-12,16:00 (09:00),Sporting Gijón,1–3,Alcorcón,17560,Estadio Municipal El Molinón,Javier Villanueva,Match Report,
11,Sat,2019-10-12,18:00 (11:00),Extremadura,1–1,Ponferradina,7205,Estadio Francisco de la Hera,Jorge Figueroa,Match Report,
11,Sat,2019-10-12,18:00 (11:00),Málaga,1–2,Cádiz,17467,Estadio La Rosaleda,Rubén Ávalos,Match Report,
11,Sun,2019-10-13,12:00 (05:00),CD Mirandés,2–1,Fuenlabrada,2759,Estadio Municipal de Anduva,Alejandro Muñíz,Match Report,
11,Sun,2019-10-13,16:00 (09:00),Numancia,0–1,Zaragoza,5754,Nuevo Estadio Los Pajaritos,José López,Match Report,
11,Sun,2019-10-13,18:00 (11:00),Albacete,1–2,Oviedo,9069,Estadio Carlos Belmonte,Juan Pulido,Match Report,
11,Sun,2019-10-13,18:00 (11:00),Huesca,1–1,Santander,6604,Estadio El Alcoraz,Álvaro Moreno,Match Report,
11,Sun,2019-10-13,20:00 (14:00),Las Palmas,3–0,La Coruña,14795,Estadio de Gran Canaria,Luis Milla,Match Report,
,,,,,,,,,,,
6,Wed,2019-10-16,21:00 (14:00),Fuenlabrada,2–1,Zaragoza,5231,Estadio Fernando Torres,Luis Milla,Match Report,
,,,,,,,,,,,
12,Fri,2019-10-18,21:00 (14:00),Cádiz,2–0,Las Palmas,16440,Estadio Ramón de Carranza,Saúl Ais,Match Report,
12,Sat,2019-10-19,16:00 (09:00),Alcorcón,2–2,Almería,2611,Estadio Santo Domingo,Isidro Díaz de Mera,Match Report,
12,Sat,2019-10-19,16:00 (09:00),Ponferradina,1–1,Numancia,4882,Estadio El Toralín,Gorka Sagues,Match Report,
12,Sat,2019-10-19,18:00 (11:00),Elche,0–1,Sporting Gijón,9316,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,
12,Sat,2019-10-19,18:00 (11:00),Lugo,3–2,Huesca,2547,Estadio Anxo Carro,Aitor Gorostegui,Match Report,
