Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
11,Fri,2019-10-25,18:30 (11:30),Darmstadt 98,1–0,Erzgebirge Aue,14095,Jonathan-Heimes-Stadion am Böllenfalltor,Manuel Gräfe,Match Report,
11,Fri,2019-10-25,18:30 (11:30),Holstein Kiel,2–1,Bochum,12390,Holstein-Stadion,Timo Gerach,Match Report,
11,Sat,2019-10-26,13:00 (06:00),Hamburger SV,6–2,Stuttgart,57000,Volksparkstadion,Deniz Aytekin,Match Report,
11,Sat,2019-10-26,13:00 (06:00),Karlsruher,3–3,Hannover 96,13370,Wildparkstadion,Guido Winkmann,Match Report,
11,Sat,2019-10-26,13:00 (06:00),Dynamo Dres,0–1,Arminia,25197,DDV-Stadion,Felix Zwayer,Match Report,
11,Sun,2019-10-27,13:30 (07:30),Heidenheim,1–0,St. Pauli,13500,Voith-Arena,Martin Thomsen,Match Report,
11,Sun,2019-10-27,13:30 (07:30),Nürnberg,1–1,Jahn R'burg,34365,Max-Morlock-Stadion,Patrick Alt,Match Report,
11,Sun,2019-10-27,13:30 (07:30),Osnabrück,0–0,Greuther Fürth,13386,Stadion an der Bremer Brücke,Sven Waschitzki,Match Report,
11,Mon,2019-10-28,20:30 (14:30),Sandhausen,0–0,Wehen,5965,Hardtwaldstadion,Lasse Koslowski,Match Report,
,,,,,,,,,,,
12,Fri,2019-11-01,18:30 (12:30),Jahn R'burg,3–3,Osnabrück,10179,Continental Arena,Robert Kampka,Match Report,
12,Fri,2019-11-01,18:30 (12:30),Hannover 96,1–1,Sandhausen,24100,HDI-Arena,Sören Storks,Match Report,
12,Sat,2019-11-02,13:00 (07:00),Erzgebirge Aue,1–1,Heidenheim,8700,Sparkassen-Erzgebirgsstadion,Florian Heft,Match Report,
12,Sat,2019-11-02,13:00 (07:00),St. Pauli,2–2,Karlsruher,29546,Millerntor-Stadion,Christof Günsch,Match Report,
12,Sat,2019-11-02,13:00 (07:00),Greuther Fürth,3–1,Darmstadt 98,8225,Sportpark Ronhof Thomas Sommer,Harm Osmers,Match Report,
12,Sun,2019-11-03,13:30 (06:30),Arminia,2–1,Holstein Kiel,19007,SchücoArena Kunstrasenplatz,Robert Kempter,Match Report,
12,Sun,2019-11-03,13:30 (06:30),Stuttgart,3–1,Dynamo Dres,52129,Mercedes-Benz Arena,Aarne Aarnink,Match Report,
12,Sun,2019-11-03,13:30 (06:30),Wehen,1–1,Hamburger SV,8200,BRITA-Arena,René Rohde,Match Report,
12,Mon,2019-11-04,20:30 (13:30),Bochum,3–1,Nürnberg,16046,Vonovia Ruhrstadion,Matthias Jöllenbeck,Match Report,
,,,,,,,,,,,
13,Fri,2019-11-08,18:30 (11:30),Dynamo Dres,1–0,Wehen,25444,DDV-Stadion,Martin Petersen,Match Report,
13,Fri,2019-11-08,18:30 (11:30),St. Pauli,1–1,Bochum,29546,Millerntor-Stadion,Florian Badstübner,Match Report,
13,Sat,2019-11-09,13:00 (06:00),Sandhausen,3–2,Greuther Fürth,5632,Hardtwaldstadion,Johann Pfeifer,Match Report,
13,Sat,2019-11-09,13:00 (06:00),Holstein Kiel,1–1,Hamburger SV,15034,Holstein-Stadion,Christian Dingert,Match Report,
13,Sat,2019-11-09,13:00 (06:00),Osnabrück,1–0,Stuttgart,15801,Stadion an der Bremer Brücke,Nicolas Winter,Match Report,
13,Sun,2019-11-10,13:30 (06:30),Darmstadt 98,2–2,Jahn R'burg,13350,Jonathan-Heimes-Stadion am Böllenfalltor,Alexander Sather,Match Report,
13,Sun,2019-11-10,13:30 (06:30),Nürnberg,1–5,Arminia,28624,Max-Morlock-Stadion,Patrick Ittrich,Match Report,
13,Sun,2019-11-10,13:30 (06:30),Heidenheim,4–0,Hannover 96,11100,Voith-Arena,Lasse Koslowski,Match Report,
13,Mon,2019-11-11,20:30 (13:30),Karlsruher,1–1,Erzgebirge Aue,12283,Wildparkstadion,Sven Waschitzki,Match Report,
,,,,,,,,,,,
14,Fri,2019-11-22,18:30 (11:30),Erzgebirge Aue,3–1,St. Pauli,14000,Sparkassen-Erzgebirgsstadion,Markus Schmidt,Match Report,
14,Fri,2019-11-22,18:30 (11:30),Bochum,1–1,Osnabrück,20760,Vonovia Ruhrstadion,Benedikt Kempkes,Match Report,
14,Sat,2019-11-23,13:00 (06:00),Arminia,1–1,Sandhausen,21012,SchücoArena Kunstrasenplatz,Guido Winkmann,Match Report,
14,Sat,2019-11-23,13:00 (06:00),Wehen,3–6,Holstein Kiel,4053,BRITA-Arena,Thorben Siewer,Match Report,
14,Sat,2019-11-23,13:00 (06:00),Hamburger SV,2–1,Dynamo Dres,51586,Volksparkstadion,Marco Fritz,Match Report,
14,Sun,2019-11-24,13:30 (06:30),Stuttgart,3–0,Karlsruher,57483,Mercedes-Benz Arena,Tobias Stieler,Match Report,
14,Sun,2019-11-24,13:30 (06:30),Jahn R'burg,3–1,Heidenheim,11762,Continental Arena,Felix Zwayer,Match Report,
14,Sun,2019-11-24,13:30 (06:30),Greuther Fürth,0–0,Nürnberg,15000,Sportpark Ronhof Thomas Sommer,Manuel Gräfe,Match Report,
14,Mon,2019-11-25,20:30 (13:30),Hannover 96,1–2,Darmstadt 98,22100,HDI-Arena,Martin Thomsen,Match Report,
,,,,,,,,,,,
15,Fri,2019-11-29,18:30 (11:30),Osnabrück,2–1,Hamburger SV,15800,Stadion an der Bremer Brücke,Tobias Reichel,Match Report,
15,Fri,2019-11-29,18:30 (11:30),Karlsruher,4–1,Jahn R'burg,12454,Wildparkstadion,Aarne Aarnink,Match Report,
15,Sat,2019-11-30,13:00 (06:00),Dynamo Dres,1–2,Holstein Kiel,24811,DDV-Stadion,Christof Günsch,Match Report,
15,Sat,2019-11-30,13:00 (06:00),St. Pauli,0–1,Hannover 96,29546,Millerntor-Stadion,Robert Hartmann,Match Report,
15,Sat,2019-11-30,13:00 (06:00),Bochum,2–0,Erzgebirge Aue,14794,Vonovia Ruhrstadion,Patrick Alt,Match Report,
15,Sat,2019-11-30,13:00 (06:00),Nürnberg,0–2,Wehen,28167,Max-Morlock-Stadion,Sascha Stegemann,Match Report,
15,Sun,2019-12-01,13:30 (06:30),Darmstadt 98,1–3,Arminia,13900,Jonathan-Heimes-Stadion am Böllenfalltor,Florian Heft,Match Report,
15,Sun,2019-12-01,13:30 (06:30),Sandhausen,2–1,Stuttgart,13689,Hardtwaldstadion,Harm Osmers,Match Report,
15,Sun,2019-12-01,13:30 (06:30),Heidenheim,1–0,Greuther Fürth,10700,Voith-Arena,Frank Willenborg,Match Report,
,,,,,,,,,,,
