Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sun,2019-11-03,15:00 (08:00),Hellas Verona,1.3,2–1,1.3,Brescia,16525,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Match Report,
11,Sun,2019-11-03,15:00 (08:00),Genoa,1.2,1–3,1.5,Udinese,20030,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Match Report,
11,Sun,2019-11-03,15:00 (08:00),Lecce,0.5,2–2,1.8,Sassuolo,22087,Stadio Comunale Via Del Mare,Riccardo Ros,Match Report,
11,Sun,2019-11-03,18:00 (11:00),Fiorentina,1.4,1–1,0.7,Parma,32479,Stadio Artemio Franchi,Luca Pairetto,Match Report,
11,Sun,2019-11-03,20:45 (13:45),Milan,0.8,1–2,1.3,Lazio,41000,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
11,Mon,2019-11-04,20:45 (13:45),SPAL,0.7,0–1,0.9,Sampdoria,11617,Stadio Paolo Mazza,Daniele Chiffi,Match Report,
,,,,,,,,,,,,,
12,Fri,2019-11-08,20:45 (13:45),Sassuolo,2.3,3–1,1.0,Bologna,13184,Mapei Stadium - Città del Tricolore,Marco Piccinini,Match Report,
12,Sat,2019-11-09,15:00 (08:00),Brescia,0.6,0–4,3.4,Torino,13500,Stadio Mario Rigamonti,Marco Guida,Match Report,
12,Sat,2019-11-09,18:00 (11:00),Inter,2.7,2–1,1.4,Hellas Verona,66202,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,
12,Sat,2019-11-09,20:45 (13:45),Napoli,1.1,0–0,1.1,Genoa,22947,Stadio San Paolo,Giampaolo Calvarese,Match Report,
12,Sun,2019-11-10,12:30 (05:30),Cagliari,2.7,5–2,1.2,Fiorentina,16316,Sardegna Arena,Federico La Penna,Match Report,
12,Sun,2019-11-10,15:00 (08:00),Lazio,3.5,4–2,2.5,Lecce,35000,Stadio Olimpico,Gianluca Manganiello,Match Report,
12,Sun,2019-11-10,15:00 (08:00),Sampdoria,0.5,0–0,0.6,Atalanta,19799,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
12,Sun,2019-11-10,15:00 (08:00),Udinese,1.5,0–0,2.0,SPAL,21621,Dacia Arena,Davide Massa,Match Report,
12,Sun,2019-11-10,18:00 (11:00),Parma,1.4,2–0,0.7,Roma,18532,Stadio Ennio Tardini,Michael Fabbri,Match Report,
12,Sun,2019-11-10,20:45 (13:45),Juventus,1.2,1–0,0.6,Milan,40478,Allianz Stadium,Fabio Maresca,Match Report,
,,,,,,,,,,,,,
13,Sat,2019-11-23,15:00 (08:00),Atalanta,2.3,1–3,1.3,Juventus,20899,Stadio Atleti Azzurri d'Italia,Gianluca Rocchi,Match Report,
13,Sat,2019-11-23,18:00 (11:00),Milan,0.7,1–1,1.0,Napoli,61658,Stadio Giuseppe Meazza,Daniele Orsato,Match Report,
13,Sat,2019-11-23,20:45 (13:45),Torino,0.5,0–3,1.7,Inter,26059,Stadio Olimpico di Torino,Fabio Maresca,Match Report,
13,Sun,2019-11-24,12:30 (05:30),Bologna,0.7,2–2,1.3,Parma,21419,Stadio Renato Dall'Ara,Rosario Abisso,Match Report,
13,Sun,2019-11-24,15:00 (08:00),Roma,2.7,3–0,0.6,Brescia,33695,Stadio Olimpico,Marco Di Bello,Match Report,
13,Sun,2019-11-24,15:00 (08:00),Sassuolo,1.3,1–2,1.3,Lazio,10000,Mapei Stadium - Città del Tricolore,Daniele Chiffi,Match Report,
13,Sun,2019-11-24,15:00 (08:00),Hellas Verona,2.1,1–0,1.1,Fiorentina,22581,Stadio Marc'Antonio Bentegodi,Antonio Giua,Match Report,
13,Sun,2019-11-24,18:00 (11:00),Sampdoria,2.1,2–1,0.5,Udinese,17031,Stadio Comunale Luigi Ferraris,Luca Pairetto,Match Report,
13,Mon,2019-11-25,15:00 (08:00),Lecce,2.7,2–2,1.0,Cagliari,21435,Stadio Comunale Via Del Mare,Maurizio Mariani,Match Report,
13,Mon,2019-11-25,20:45 (13:45),SPAL,2.3,1–1,1.3,Genoa,12423,Stadio Paolo Mazza,Piero Giacomelli,Match Report,
,,,,,,,,,,,,,
14,Sat,2019-11-30,15:00 (08:00),Brescia,1.0,0–3,2.8,Atalanta,14000,Stadio Mario Rigamonti,Daniele Doveri,Match Report,
14,Sat,2019-11-30,18:00 (11:00),Genoa,1.0,0–1,0.9,Torino,20000,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
14,Sat,2019-11-30,20:45 (13:45),Fiorentina,1.9,0–1,1.3,Lecce,33912,Stadio Artemio Franchi,Marco Piccinini,Match Report,
14,Sun,2019-12-01,12:30 (05:30),Juventus,4.6,2–2,0.7,Sassuolo,40597,Allianz Stadium,Federico La Penna,Match Report,
14,Sun,2019-12-01,15:00 (08:00),Inter,1.6,2–1,1.1,SPAL,61221,Stadio Giuseppe Meazza,Massimiliano Irrati,Match Report,
14,Sun,2019-12-01,15:00 (08:00),Lazio,2.9,3–0,0.9,Udinese,20000,Stadio Olimpico,Marco Di Bello,Match Report,
14,Sun,2019-12-01,15:00 (08:00),Parma,0.3,0–1,1.8,Milan,18431,Stadio Ennio Tardini,Paolo Valeri,Match Report,
14,Sun,2019-12-01,18:00 (11:00),Napoli,2.3,1–2,1.2,Bologna,26012,Stadio San Paolo,Fabrizio Pasqua,Match Report,
14,Sun,2019-12-01,20:45 (13:45),Hellas Verona,0.9,1–3,1.7,Roma,17405,Stadio Marc'Antonio Bentegodi,Marco Guida,Match Report,
14,Mon,2019-12-02,20:45 (13:45),Cagliari,0.7,4–3,1.5,Sampdoria,15658,Sardegna Arena,Gianluca Aureliano,Match Report,
,,,,,,,,,,,,,
15,Fri,2019-12-06,20:45 (13:45),Inter,1.7,0–0,0.2,Roma,67008,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
15,Sat,2019-12-07,15:00 (08:00),Atalanta,2.5,3–2,1.2,Hellas Verona,19335,Stadio Atleti Azzurri d'Italia,Paolo Valeri,Match Report,
15,Sat,2019-12-07,18:00 (11:00),Udinese,0.5,1–1,1.2,Napoli,20405,Dacia Arena,Maurizio Mariani,Match Report,
15,Sat,2019-12-07,20:45 (13:45),Lazio,2.5,3–1,1.8,Juventus,65000,Stadio Olimpico,Michael Fabbri,Match Report,
15,Sun,2019-12-08,12:30 (05:30),Lecce,1.0,2–2,1.9,Genoa,21740,Stadio Comunale Via Del Mare,Gianluca Rocchi,Match Report,
15,Sun,2019-12-08,15:00 (08:00),SPAL,2.0,0–1,1.7,Brescia,12442,Stadio Paolo Mazza,Daniele Orsato,Match Report,
15,Sun,2019-12-08,15:00 (08:00),Sassuolo,1.9,2–2,0.4,Cagliari,12666,Mapei Stadium - Città del Tricolore,Luca Pairetto,Match Report,
15,Sun,2019-12-08,15:00 (08:00),Torino,0.8,2–1,1.9,Fiorentina,19955,Stadio Olimpico di Torino,Piero Giacomelli,Match Report,
15,Sun,2019-12-08,18:00 (11:00),Sampdoria,1.8,0–1,0.6,Parma,19516,Stadio Comunale Luigi Ferraris,Rosario Abisso,Match Report,
15,Sun,2019-12-08,20:45 (13:45),Bologna,1.5,2–3,2.1,Milan,23707,Stadio Renato Dall'Ara,Daniele Chiffi,Match Report,
