Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,15,Sat,2018-12-08,15:00 (08:00),Spezia,4–0,Cosenza,5148,Stadio Alberto Picco,Ivan Pezzuto,Match Report,
Regular Season,15,Sat,2018-12-08,15:00 (08:00),Venezia,1–0,Ascoli,3339,Stadio Pierluigi Penzo,Antonio Di Martino,Match Report,
Regular Season,15,Sun,2018-12-09,15:00 (08:00),Cremonese,0–0,Cittadella,6008,Stadio Giovanni Zin,Riccardo Ros,Match Report,
Regular Season,15,Sun,2018-12-09,15:00 (08:00),Livorno,3–1,Foggia,5797,Stadio Armando Picchi,Juan Sacchi,Match Report,
Regular Season,15,Sun,2018-12-09,21:00 (14:00),Benevento,0–1,Hellas Verona,9808,Stadio Ciro Vigorito,Marco Piccinini,Match Report,
Regular Season,15,Mon,2018-12-10,21:00 (14:00),Salernitana,1–3,Brescia,8576,Stadio Arechi,Fabio Piscopo,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2018-12-14,21:00 (14:00),Foggia,3–1,Cremonese,8836,Stadio Comunale Pino Zaccheria,Antonio Rapuano,Match Report,
Regular Season,16,Sat,2018-12-15,15:00 (08:00),Perugia,1–1,Spezia,6996,Stadio Renato Curi,Gianluca Aureliano,Match Report,
Regular Season,16,Sat,2018-12-15,15:00 (08:00),Palermo,1–1,Livorno,5734,Stadio Renzo Barbera,Valerio Marini,Match Report,
Regular Season,16,Sat,2018-12-15,15:00 (08:00),Ascoli,1–1,Cittadella,4789,Stadio Cino e Lillo Del Duca,Davide Ghersini,Match Report,
Regular Season,16,Sun,2018-12-16,15:00 (08:00),Carpi,3–2,Salernitana,2126,Stadio Sandro Cabassi,Luca Massimi,Match Report,
Regular Season,16,Sun,2018-12-16,15:00 (08:00),Crotone,1–1,Venezia,5146,Stadio Ezio Scida,Aleandro Di Paolo,Match Report,
Regular Season,16,Sun,2018-12-16,17:00 (10:00),Cosenza,0–0,Benevento,5500,Stadio San Vito,Luigi Pillitteri,Match Report,
Regular Season,16,Sun,2018-12-16,21:00 (14:00),Brescia,2–1,Lecce,6500,Stadio Mario Rigamonti,Francesco Fourneau,Match Report,
Regular Season,16,Mon,2018-12-17,21:00 (14:00),Hellas Verona,3–1,Pescara,9346,Stadio Marc'Antonio Bentegodi,Daniele Minelli,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2018-12-21,21:00 (14:00),Ascoli,1–1,Brescia,5397,Stadio Cino e Lillo Del Duca,Luigi Nasca,Match Report,
Regular Season,17,Sat,2018-12-22,15:00 (08:00),Cremonese,1–2,Carpi,5416,Stadio Giovanni Zin,Antonio Di Martino,Match Report,
Regular Season,17,Sat,2018-12-22,15:00 (08:00),Livorno,0–0,Hellas Verona,5662,Stadio Armando Picchi,Marco Serra,Match Report,
Regular Season,17,Sun,2018-12-23,12:30 (05:30),Salernitana,1–0,Foggia,9730,Stadio Arechi,Niccolò Baroni,Match Report,
Regular Season,17,Sun,2018-12-23,15:00 (08:00),Lecce,3–2,Padova,12112,Stadio Comunale Via Del Mare,Manuel Volpi,Match Report,
Regular Season,17,Sun,2018-12-23,15:00 (08:00),Venezia,0–1,Cosenza,3142,Stadio Pierluigi Penzo,Federico Dionisi,Match Report,
Regular Season,17,Sun,2018-12-23,15:00 (08:00),Cittadella,2–2,Perugia,4052,Stadio Pier Cesare Tombolato,Francesco Guccini,Match Report,
Regular Season,17,Sun,2018-12-23,17:30 (10:30),Spezia,1–1,Palermo,5598,Stadio Alberto Picco,Riccardo Ros,Match Report,
Regular Season,17,Sun,2018-12-23,21:00 (14:00),Benevento,3–0,Crotone,10475,Stadio Ciro Vigorito,Antonio Giua,Match Report,
,,,,,,,,,,,,
Regular Season,18,Wed,2018-12-26,15:00 (08:00),Brescia,3–2,Cremonese,9507,Stadio Mario Rigamonti,Lorenzo Maggioni,Match Report,
Regular Season,18,Wed,2018-12-26,15:00 (08:00),Carpi,1–4,Livorno,1645,Stadio Sandro Cabassi,Marco Piccinini,Match Report,
Regular Season,18,Thu,2018-12-27,19:00 (12:00),Pescara,1–0,Venezia,6834,Stadio Adriatico-Giovanni Cornacchia,Ivan Pezzuto,Match Report,
Regular Season,18,Thu,2018-12-27,21:00 (14:00),Cosenza,0–0,Salernitana,12623,Stadio San Vito,Livio Marinelli,Match Report,
Regular Season,18,Thu,2018-12-27,21:00 (14:00),Padova,0–1,Benevento,6405,Stadio Comunale Euganeo,Riccardo Ros,Match Report,
Regular Season,18,Thu,2018-12-27,21:00 (14:00),Hellas Verona,4–0,Cittadella,9593,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
Regular Season,18,Thu,2018-12-27,21:00 (14:00),Crotone,0–3,Spezia,5559,Stadio Ezio Scida,Valerio Marini,Match Report,
Regular Season,18,Thu,2018-12-27,21:00 (14:00),Palermo,3–0,Ascoli,8262,Stadio Renzo Barbera,Fabio Piscopo,Match Report,
Regular Season,18,Thu,2018-12-27,21:00 (14:00),Perugia,3–0,Foggia,8015,Stadio Renato Curi,Eugenio Abbattista,Match Report,
,,,,,,,,,,,,
Regular Season,19,Sun,2018-12-30,12:30 (05:30),Foggia,2–2,Hellas Verona,10943,Stadio Comunale Pino Zaccheria,Francesco Fourneau,Match Report,
Regular Season,19,Sun,2018-12-30,15:00 (08:00),Ascoli,3–2,Crotone,6101,Stadio Cino e Lillo Del Duca,Luca Massimi,Match Report,
Regular Season,19,Sun,2018-12-30,15:00 (08:00),Cremonese,4–0,Perugia,6061,Stadio Giovanni Zin,Daniele Minelli,Match Report,
Regular Season,19,Sun,2018-12-30,15:00 (08:00),Salernitana,2–4,Pescara,9824,Stadio Arechi,Luigi Pillitteri,Match Report,
Regular Season,19,Sun,2018-12-30,15:00 (08:00),Venezia,1–1,Carpi,2798,Stadio Pierluigi Penzo,Niccolò Baroni,Match Report,
Regular Season,19,Sun,2018-12-30,15:00 (08:00),Cittadella,0–1,Palermo,4815,Stadio Pier Cesare Tombolato,Gianluca Aureliano,Match Report,
Regular Season,19,Sun,2018-12-30,16:00 (09:00),Benevento,1–1,Brescia,11409,Stadio Ciro Vigorito,Antonio Rapuano,Match Report,
Regular Season,19,Sun,2018-12-30,18:00 (11:00),Livorno,1–1,Padova,6594,Stadio Armando Picchi,Aleandro Di Paolo,Match Report,
Regular Season,19,Sun,2018-12-30,21:00 (14:00),Spezia,1–1,Lecce,5977,Stadio Alberto Picco,Davide Ghersini,Match Report,
,,,,,,,,,,,,
Regular Season,20,Fri,2019-01-18,21:00 (14:00),Palermo,1–2,Salernitana,6674,Stadio Renzo Barbera,Federico Dionisi,Match Report,
Regular Season,20,Sat,2019-01-19,15:00 (08:00),Crotone,0–0,Cittadella,6015,Stadio Ezio Scida,Antonio Di Martino,Match Report,
Regular Season,20,Sat,2019-01-19,15:00 (08:00),Lecce,1–1,Benevento,10118,Stadio Comunale Via Del Mare,Marco Serra,Match Report,
Regular Season,20,Sat,2019-01-19,15:00 (08:00),Carpi,0–2,Foggia,3413,Stadio Sandro Cabassi,Luigi Pillitteri,Match Report,
Regular Season,20,Sat,2019-01-19,18:00 (11:00),Perugia,0–2,Brescia,7682,Stadio Renato Curi,Antonio Giua,Match Report,
Regular Season,20,Sun,2019-01-20,15:00 (08:00),Cosenza,0–0,Ascoli,5974,Stadio San Vito,Eugenio Abbattista,Match Report,
Regular Season,20,Sun,2019-01-20,15:00 (08:00),Padova,3–0,Hellas Verona,8930,Stadio Comunale Euganeo,Luigi Nasca,Match Report,
