Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,12,Sat,2015-11-07,15:30 (08:30),M'gladbach,0–0,Ingolstadt 04,52331,Stadion im Borussia-Park,Marco Fritz,Match Report,
Regular Season,12,Sat,2015-11-07,15:30 (08:30),Bayern Munich,4–0,Stuttgart,75000,Allianz Arena,Bastian Dankert,Match Report,
Regular Season,12,Sat,2015-11-07,18:30 (11:30),Darmstadt 98,1–1,Hamburger SV,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Wolfgang Stark,Match Report,
Regular Season,12,Sun,2015-11-08,15:30 (08:30),Dortmund,3–2,Schalke 04,79956,Signal Iduna Park,Felix Brych,Match Report,
Regular Season,12,Sun,2015-11-08,17:30 (10:30),Augsburg,1–2,Werder Bremen,28122,WWK Arena,Tobias Stieler,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2015-11-20,20:30 (13:30),Hamburger SV,3–1,Dortmund,57000,Volksparkstadion,Felix Zwayer,Match Report,
Regular Season,13,Sat,2015-11-21,15:30 (08:30),Stuttgart,0–4,Augsburg,54925,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
Regular Season,13,Sat,2015-11-21,15:30 (08:30),Wolfsburg,6–0,Werder Bremen,30000,Volkswagen Arena,Peter Sippel,Match Report,
Regular Season,13,Sat,2015-11-21,15:30 (08:30),M'gladbach,2–1,Hannover 96,52214,Stadion im Borussia-Park,Felix Brych,Match Report,
Regular Season,13,Sat,2015-11-21,15:30 (08:30),Eint Frankfurt,1–3,Bayer,47500,Commerzbank-Arena,Deniz Aytekin,Match Report,
Regular Season,13,Sat,2015-11-21,15:30 (08:30),Köln,0–0,Mainz 05,46700,RheinEnergieSTADION,Wolfgang Stark,Match Report,
Regular Season,13,Sat,2015-11-21,18:30 (11:30),Schalke 04,1–3,Bayern Munich,62271,Veltins-Arena,Tobias Stieler,Match Report,
Regular Season,13,Sun,2015-11-22,15:30 (08:30),Hertha BSC,1–0,Hoffenheim,37045,Olympiastadion Berlin,Guido Winkmann,Match Report,
Regular Season,13,Sun,2015-11-22,17:30 (10:30),Ingolstadt 04,3–1,Darmstadt 98,14551,Audi-Sportpark,Knut Kircher,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2015-11-27,20:30 (13:30),Darmstadt 98,0–0,Köln,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Deniz Aytekin,Match Report,
Regular Season,14,Sat,2015-11-28,15:30 (08:30),Hoffenheim,3–3,M'gladbach,30150,PreZero Arena,Michael Weiner,Match Report,
Regular Season,14,Sat,2015-11-28,15:30 (08:30),Mainz 05,2–1,Eint Frankfurt,33098,Opel Arena,Bastian Dankert,Match Report,
Regular Season,14,Sat,2015-11-28,15:30 (08:30),Werder Bremen,1–3,Hamburger SV,42100,Weserstadion,Knut Kircher,Match Report,
Regular Season,14,Sat,2015-11-28,15:30 (08:30),Bayern Munich,2–0,Hertha BSC,75000,Allianz Arena,Jochen Drees,Match Report,
Regular Season,14,Sat,2015-11-28,15:30 (08:30),Hannover 96,4–0,Ingolstadt 04,35000,HDI-Arena,Tobias Stieler,Match Report,
Regular Season,14,Sun,2015-11-29,15:30 (08:30),Dortmund,4–1,Stuttgart,81359,Signal Iduna Park,Manuel Gräfe,Match Report,
Regular Season,14,Sun,2015-11-29,17:30 (10:30),Augsburg,0–0,Wolfsburg,27081,WWK Arena,Christian Dingert,Match Report,
Regular Season,14,Sun,2015-11-29,17:30 (10:30),Bayer,1–1,Schalke 04,30210,BayArena,Marco Fritz,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2015-12-04,20:30 (13:30),Schalke 04,3–1,Hannover 96,61229,Veltins-Arena,Wolfgang Stark,Match Report,
Regular Season,15,Sat,2015-12-05,15:30 (08:30),M'gladbach,3–1,Bayern Munich,54010,Stadion im Borussia-Park,Felix Zwayer,Match Report,
Regular Season,15,Sat,2015-12-05,15:30 (08:30),Hamburger SV,1–3,Mainz 05,51698,Volksparkstadion,Benjamin Brand,Match Report,
Regular Season,15,Sat,2015-12-05,15:30 (08:30),Köln,0–1,Augsburg,45500,RheinEnergieSTADION,Daniel Siebert,Match Report,
Regular Season,15,Sat,2015-12-05,15:30 (08:30),Hertha BSC,2–1,Bayer,41819,Olympiastadion Berlin,Robert Hartmann,Match Report,
Regular Season,15,Sat,2015-12-05,15:30 (08:30),Ingolstadt 04,1–1,Hoffenheim,14255,Audi-Sportpark,Manuel Gräfe,Match Report,
Regular Season,15,Sat,2015-12-05,18:30 (11:30),Wolfsburg,1–2,Dortmund,30000,Volkswagen Arena,Tobias Stieler,Match Report,
Regular Season,15,Sun,2015-12-06,15:30 (08:30),Stuttgart,1–1,Werder Bremen,46590,Mercedes-Benz Arena,Florian Meyer,Match Report,
Regular Season,15,Sun,2015-12-06,17:30 (10:30),Eint Frankfurt,0–1,Darmstadt 98,51500,Commerzbank-Arena,Felix Brych,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2015-12-11,20:30 (13:30),Mainz 05,0–0,Stuttgart,29104,Opel Arena,Felix Zwayer,Match Report,
Regular Season,16,Sat,2015-12-12,15:30 (08:30),Hoffenheim,1–0,Hannover 96,25531,PreZero Arena,Jochen Drees,Match Report,
Regular Season,16,Sat,2015-12-12,15:30 (08:30),Wolfsburg,1–1,Hamburger SV,30000,Volkswagen Arena,Wolfgang Stark,Match Report,
Regular Season,16,Sat,2015-12-12,15:30 (08:30),Werder Bremen,1–1,Köln,40727,Weserstadion,Guido Winkmann,Match Report,
Regular Season,16,Sat,2015-12-12,15:30 (08:30),Bayern Munich,2–0,Ingolstadt 04,75000,Allianz Arena,Michael Weiner,Match Report,
Regular Season,16,Sat,2015-12-12,15:30 (08:30),Darmstadt 98,0–4,Hertha BSC,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Günter Perl,Match Report,
Regular Season,16,Sat,2015-12-12,18:30 (11:30),Bayer,5–0,M'gladbach,30210,BayArena,Tobias Stieler,Match Report,
Regular Season,16,Sun,2015-12-13,15:30 (08:30),Augsburg,2–1,Schalke 04,28410,WWK Arena,Florian Meyer,Match Report,
Regular Season,16,Sun,2015-12-13,17:30 (10:30),Dortmund,4–1,Eint Frankfurt,81359,Signal Iduna Park,Christian Dingert,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2015-12-18,20:30 (13:30),Schalke 04,1–0,Hoffenheim,60749,Veltins-Arena,Sascha Stegemann,Match Report,
Regular Season,17,Sat,2015-12-19,15:30 (08:30),Ingolstadt 04,0–1,Bayer,15000,Audi-Sportpark,Felix Zwayer,Match Report,
Regular Season,17,Sat,2015-12-19,15:30 (08:30),Hamburger SV,0–1,Augsburg,49726,Volksparkstadion,Bastian Dankert,Match Report,
Regular Season,17,Sat,2015-12-19,15:30 (08:30),Köln,2–1,Dortmund,50000,RheinEnergieSTADION,Knut Kircher,Match Report,
Regular Season,17,Sat,2015-12-19,15:30 (08:30),Eint Frankfurt,2–1,Werder Bremen,46000,Commerzbank-Arena,Wolfgang Stark,Match Report,
Regular Season,17,Sat,2015-12-19,15:30 (08:30),Hannover 96,0–1,Bayern Munich,49000,HDI-Arena,Manuel Gräfe,Match Report,
Regular Season,17,Sat,2015-12-19,18:30 (11:30),Stuttgart,3–1,Wolfsburg,47343,Mercedes-Benz Arena,Felix Brych,Match Report,
Regular Season,17,Sun,2015-12-20,15:30 (08:30),Hertha BSC,2–0,Mainz 05,39835,Olympiastadion Berlin,Peter Sippel,Match Report,
Regular Season,17,Sun,2015-12-20,17:30 (10:30),M'gladbach,3–2,Darmstadt 98,53610,Stadion im Borussia-Park,Benjamin Brand,Match Report,
,,,,,,,,,,,,
Regular Season,18,Fri,2016-01-22,20:30 (13:30),Hamburger SV,1–2,Bayern Munich,57000,Volksparkstadion,Felix Zwayer,Match Report,
Regular Season,18,Sat,2016-01-23,15:30 (08:30),Hertha BSC,0–0,Augsburg,35196,Olympiastadion Berlin,Tobias Stieler,Match Report,
Regular Season,18,Sat,2016-01-23,15:30 (08:30),Ingolstadt 04,1–0,Mainz 05,13500,Audi-Sportpark,Florian Meyer,Match Report,
Regular Season,18,Sat,2016-01-23,15:30 (08:30),Hoffenheim,1–1,Bayer,24140,PreZero Arena,Marco Fritz,Match Report,
Regular Season,18,Sat,2016-01-23,15:30 (08:30),Hannover 96,1–2,Darmstadt 98,35600,HDI-Arena,Deniz Aytekin,Match Report,
Regular Season,18,Sat,2016-01-23,15:30 (08:30),Köln,1–3,Stuttgart,50000,RheinEnergieSTADION,Manuel Gräfe,Match Report,
Regular Season,18,Sat,2016-01-23,18:30 (11:30),M'gladbach,1–3,Dortmund,54010,Stadion im Borussia-Park,Felix Brych,Match Report,
Regular Season,18,Sun,2016-01-24,15:30 (08:30),Eint Frankfurt,3–2,Wolfsburg,35000,Commerzbank-Arena,Knut Kircher,Match Report,
Regular Season,18,Sun,2016-01-24,17:30 (10:30),Schalke 04,1–3,Werder Bremen,62271,Veltins-Arena,Christian Dingert,Match Report,
,,,,,,,,,,,,
Regular Season,19,Fri,2016-01-29,20:30 (13:30),Mainz 05,1–0,M'gladbach,32015,Opel Arena,Benjamin Brand,Match Report,
Regular Season,19,Sat,2016-01-30,15:30 (08:30),Darmstadt 98,0–2,Schalke 04,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Daniel Siebert,Match Report,
Regular Season,19,Sat,2016-01-30,15:30 (08:30),Dortmund,2–0,Ingolstadt 04,81359,Signal Iduna Park,Guido Winkmann,Match Report,
Regular Season,19,Sat,2016-01-30,15:30 (08:30),Bayer,3–0,Hannover 96,28790,BayArena,Tobias Welz,Match Report,
Regular Season,19,Sat,2016-01-30,15:30 (08:30),Werder Bremen,3–3,Hertha BSC,40141,Weserstadion,Bastian Dankert,Match Report,
Regular Season,19,Sat,2016-01-30,15:30 (08:30),Augsburg,0–0,Eint Frankfurt,28653,WWK Arena,Sascha Stegemann,Match Report,
Regular Season,19,Sat,2016-01-30,18:30 (11:30),Stuttgart,2–1,Hamburger SV,46600,Mercedes-Benz Arena,Günter Perl,Match Report,
Regular Season,19,Sun,2016-01-31,15:30 (08:30),Wolfsburg,1–1,Köln,29156,Volkswagen Arena,Wolfgang Stark,Match Report,
Regular Season,19,Sun,2016-01-31,17:30 (10:30),Bayern Munich,2–0,Hoffenheim,75000,Allianz Arena,Jochen Drees,Match Report,
,,,,,,,,,,,,
Regular Season,20,Fri,2016-02-05,20:30 (13:30),M'gladbach,5–1,Werder Bremen,51569,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
Regular Season,20,Sat,2016-02-06,15:30 (08:30),Hannover 96,0–1,Mainz 05,35596,HDI-Arena,Robert Hartmann,Match Report,
Regular Season,20,Sat,2016-02-06,15:30 (08:30),Hertha BSC,0–0,Dortmund,74244,Olympiastadion Berlin,Marco Fritz,Match Report,
Regular Season,20,Sat,2016-02-06,15:30 (08:30),Ingolstadt 04,2–1,Augsburg,15356,Audi-Sportpark,Michael Weiner,Match Report,
Regular Season,20,Sat,2016-02-06,15:30 (08:30),Eint Frankfurt,2–4,Stuttgart,42000,Commerzbank-Arena,Peter Sippel,Match Report,
Regular Season,20,Sat,2016-02-06,15:30 (08:30),Schalke 04,3–0,Wolfsburg,61483,Veltins-Arena,Tobias Welz,Match Report,
Regular Season,20,Sat,2016-02-06,18:30 (11:30),Bayer,0–0,Bayern Munich,30210,BayArena,Knut Kircher,Match Report,
Regular Season,20,Sun,2016-02-07,15:30 (08:30),Hamburger SV,1–1,Köln,51999,Volksparkstadion,Felix Brych,Match Report,
Regular Season,20,Sun,2016-02-07,17:30 (10:30),Hoffenheim,0–2,Darmstadt 98,26231,PreZero Arena,Christian Dingert,Match Report,
,,,,,,,,,,,,
Regular Season,21,Fri,2016-02-12,20:30 (13:30),Mainz 05,2–1,Schalke 04,32107,Opel Arena,Manuel Gräfe,Match Report,
